Time Lapsed,Angular_Velocity_X
41583.094,0.0
41583.190,0.0
41583.300,0.0
41583.397,0.0
41583.494,0.0
41583.591,0.0
41583.697,0.0
41583.812,0.0
41583.910,0.0
41583.991,0.0
41584.099,0.0
41584.219,0.0
41584.317,0.0
41584.427,0.0
41584.501,0.0
41584.582,0.0
41584.695,0.0
41584.817,0.0
41584.937,0.0
41584.994,0.0
41585.138,0.0
41585.201,0.0
41585.305,0.0
41585.380,0.0
41585.484,0.0
41585.591,0.0
41585.689,0.0
41585.785,0.0
41585.895,0.0
41585.974,0.0
41586.077,0.0
41586.196,0.0
41586.293,0.0
41586.388,0.0
41586.486,0.0
41586.591,0.0
41586.689,0.0
39476.783,0.0
39476.880,0.0
39476.976,0.0
39477.092,0.0
39477.190,0.0
39477.322,0.0
39477.396,0.0
39477.493,0.0
39477.587,0.0
39477.682,0.0
39477.805,0.0
39477.902,0.0
39477.998,0.0
39478.104,0.0
39478.201,0.0
39478.297,0.0
39478.405,0.0
39478.513,0.0
39478.631,0.0
39478.729,0.0
39478.812,0.0
39478.932,0.0
39479.028,0.0
39479.136,0.0
39479.229,0.0
39479.280,0.0
39479.380,0.0
39479.474,0.0
39479.572,0.0
39479.673,0.0
39479.768,0.0
39479.871,0.0
39479.984,0.0
39480.081,0.0
39480.185,0.0
39480.285,0.0
39480.381,0.0
39480.466,0.0
39480.565,0.0
39480.677,0.0
39480.780,0.0
39480.881,0.0
39480.974,0.0
39481.070,0.0
39481.168,0.0
39481.273,0.0
39481.381,0.0
39481.479,0.0
39481.570,0.0
39481.709,0.0
39481.798,0.0
39481.896,0.0
39481.994,0.0
39482.086,0.0
39482.212,0.0
39482.309,0.0
39482.407,0.0
39482.513,0.0
39482.609,0.0
39482.709,0.0
39482.760,0.0
39482.859,0.0
39483.021,0.0
39483.119,0.0
39483.224,0.0
39483.315,0.0
39483.366,0.0
39483.464,0.0
39483.570,0.0
39483.668,0.0
39483.771,0.0
39483.868,0.0
39483.954,0.0
39484.050,0.0
39484.170,0.0
39484.251,0.0
39484.351,0.0
39484.493,0.0
39484.567,0.0
39484.650,0.0
39484.761,0.0
39484.869,0.0
39484.966,0.0
39485.060,0.0
39485.158,0.0
39485.278,0.0
39485.381,0.0
39485.469,0.0
39485.589,0.0
39485.687,0.0
39485.795,0.0
39485.893,0.0
39485.945,0.0
39486.119,0.0
39486.163,0.0
39486.293,0.0
39486.344,0.0
39486.484,0.0
39486.599,0.0
39486.653,0.0
39536.751,0.0
39536.854,0.0
39536.959,0.0
39537.055,0.0
39537.155,0.0
39537.255,0.0
39537.356,0.0
39537.452,0.0
39537.549,0.0
39537.657,0.0
39537.753,0.0
39537.864,0.0
39537.957,0.0
39538.045,0.0
39538.141,0.0
39538.241,0.0
39538.347,0.0
39538.442,0.0
39538.538,0.0
39538.658,0.0
39538.760,0.0
39538.853,0.0
39538.949,0.0
39539.059,0.0
39539.170,0.0
39539.268,0.0
39539.361,0.0
39539.471,0.0
39539.567,0.0
39539.687,0.0
39539.793,0.0
39539.834,0.0
39539.988,0.0
39540.084,0.0
39540.184,0.0
39540.234,0.0
39540.358,0.0
39540.466,0.0
39540.572,0.0
39540.694,0.0
39540.744,0.0
39540.896,0.0
39540.937,0.0
39541.035,0.0
39541.133,0.0
39541.229,0.0
39541.334,0.0
39541.435,0.0
39541.545,0.0
39541.630,0.0
39541.739,0.0
39541.837,0.0
39541.934,0.0
39542.043,0.0
39542.138,0.0
39542.239,0.0
39542.337,0.0
39542.435,0.0
39542.530,0.0
39542.653,0.0
39542.746,0.0
39542.848,0.0
39542.942,0.0
39543.062,0.0
39543.146,0.0
39543.266,0.0
39543.364,0.0
39543.469,0.0
39543.555,0.0
39543.675,0.0
39543.772,0.0
39543.881,0.0
39543.979,0.0
39544.077,0.0
39544.128,0.0
39544.228,0.0
39544.349,0.0
39544.432,0.0
39544.532,0.0
39544.619,0.0
39544.739,0.0
39544.824,0.0
39544.940,0.0
39545.016,0.0
39545.123,0.0
39545.219,0.0
39545.329,0.0
39545.427,0.0
39545.525,0.0
39545.619,0.0
39545.717,0.0
39545.815,0.0
39545.935,0.0
39546.043,0.0
39546.114,0.0
39546.234,0.0
39546.332,0.0
39546.423,0.0
39546.542,0.0
39546.643,0.0
39596.736,0.0
39596.847,0.0
39596.944,0.0
39597.038,0.0
39597.143,0.0
39597.256,0.0
