Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:30:19.167,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.673, 11.833, -46.333, 26.37,,,,,,,,,,,,,,,,
 21:30:19.260,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.181, -0.286, -71.406, -34.680, 11.893, -46.433, 26.35,,,,,,,,,,,,,,,,
 21:30:19.357,COM3,, -0.005, -0.016, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.640, 11.887, -46.527, 26.35,,,,,,,,,,,,,,,,
 21:30:19.452,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.181, -0.286, -71.406, -34.607, 11.767, -46.453, 26.32,,,,,,,,,,,,,,,,
 21:30:19.567,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.181, -0.280, -71.406, -34.533, 11.973, -46.507, 26.38,,,,,,,,,,,,,,,,
 21:30:19.663,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.713, 11.913, -46.400, 26.34,,,,,,,,,,,,,,,,
 21:30:19.757,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.647, 11.820, -46.253, 26.34,,,,,,,,,,,,,,,,
 21:30:19.850,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.880, -46.540, 26.35,,,,,,,,,,,,,,,,
 21:30:19.972,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.687, 11.887, -46.360, 26.34,,,,,,,,,,,,,,,,
 21:30:20.067,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.860, -46.413, 26.37,,,,,,,,,,,,,,,,
 21:30:20.163,COM3,, -0.004, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.893, -46.353, 26.37,,,,,,,,,,,,,,,,
 21:30:20.271,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.780, -46.273, 26.34,,,,,,,,,,,,,,,,
 21:30:20.382,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.660, 11.753, -46.507, 26.34,,,,,,,,,,,,,,,,
 21:30:20.479,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.727, 11.900, -46.500, 26.32,,,,,,,,,,,,,,,,
 21:30:20.569,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.800, 11.927, -46.433, 26.34,,,,,,,,,,,,,,,,
 21:30:20.681,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.633, 11.860, -46.527, 26.32,,,,,,,,,,,,,,,,
 21:30:20.778,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.747, 11.893, -46.387, 26.35,,,,,,,,,,,,,,,,
 21:30:20.899,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.547, 11.867, -46.773, 26.34,,,,,,,,,,,,,,,,
 21:30:21.004,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.673, 11.813, -46.427, 26.35,,,,,,,,,,,,,,,,
 21:30:21.094,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.667, 11.780, -46.500, 26.35,,,,,,,,,,,,,,,,
 21:30:21.192,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.653, 11.773, -46.480, 26.35,,,,,,,,,,,,,,,,
 21:30:21.310,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.680, 11.920, -46.300, 26.37,,,,,,,,,,,,,,,,
 21:30:21.416,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.573, 11.860, -46.647, 26.29,,,,,,,,,,,,,,,,
 21:30:21.445,COM3,, -0.005, -0.014, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.713, 11.893, -46.327, 26.34,,,,,,,,,,,,,,,,
 21:30:21.598,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.733, 11.793, -46.313, 26.35,,,,,,,,,,,,,,,,
 21:30:21.648,COM3,, -0.004, -0.016, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.773, 11.867, -46.440, 26.34,,,,,,,,,,,,,,,,
 21:30:21.810,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.680, 11.893, -46.433, 26.32,,,,,,,,,,,,,,,,
 21:30:21.912,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.627, 11.900, -46.500, 26.35,,,,,,,,,,,,,,,,
 21:30:21.946,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.693, 11.893, -46.280, 26.34,,,,,,,,,,,,,,,,
 21:30:22.046,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.647, 11.907, -46.340, 26.32,,,,,,,,,,,,,,,,
 21:30:22.155,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.587, 11.847, -46.427, 26.37,,,,,,,,,,,,,,,,
 21:30:22.251,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.673, 11.760, -46.507, 26.35,,,,,,,,,,,,,,,,
 21:30:22.353,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.640, 11.700, -46.327, 26.38,,,,,,,,,,,,,,,,
 21:30:22.450,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.660, 11.867, -46.560, 26.35,,,,,,,,,,,,,,,,
 21:30:22.550,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.747, 11.820, -46.293, 26.35,,,,,,,,,,,,,,,,
 21:30:22.670,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.673, 11.793, -46.640, 26.34,,,,,,,,,,,,,,,,
 21:30:22.743,COM3,, -0.005, -0.014, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.587, 11.727, -46.700, 26.35,,,,,,,,,,,,,,,,
 21:30:22.843,COM3,, -0.004, -0.016, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.747, 11.853, -46.533, 26.34,,,,,,,,,,,,,,,,
 21:30:22.955,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.627, 11.913, -46.447, 26.37,,,,,,,,,,,,,,,,
 21:30:23.051,COM3,, -0.004, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.900, -46.293, 26.32,,,,,,,,,,,,,,,,
 21:30:23.148,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.773, -46.393, 26.34,,,,,,,,,,,,,,,,
 21:30:23.255,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.753, 11.927, -46.407, 26.34,,,,,,,,,,,,,,,,
 21:30:23.349,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.933, -46.653, 26.35,,,,,,,,,,,,,,,,
 21:30:23.445,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.580, 11.840, -46.720, 26.32,,,,,,,,,,,,,,,,
 21:30:23.543,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.573, 11.840, -46.547, 26.34,,,,,,,,,,,,,,,,
 21:30:23.647,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.713, 11.907, -46.380, 26.35,,,,,,,,,,,,,,,,
 21:30:23.766,COM3,, -0.005, -0.014, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.687, 11.867, -46.453, 26.35,,,,,,,,,,,,,,,,
 21:30:23.860,COM3,, -0.004, -0.014, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.647, 11.880, -46.487, 26.40,,,,,,,,,,,,,,,,
 21:30:23.950,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.573, 11.840, -46.813, 26.32,,,,,,,,,,,,,,,,
 21:30:24.058,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.600, 11.880, -46.520, 26.35,,,,,,,,,,,,,,,,
 21:30:24.152,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.840, -46.473, 26.34,,,,,,,,,,,,,,,,
 21:30:24.274,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.693, 11.687, -46.340, 26.35,,,,,,,,,,,,,,,,
 21:30:24.358,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.707, 11.807, -46.420, 26.34,,,,,,,,,,,,,,,,
 21:30:24.478,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.613, 11.893, -46.667, 26.34,,,,,,,,,,,,,,,,
 21:30:24.575,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.647, 11.767, -46.707, 26.34,,,,,,,,,,,,,,,,
 21:30:24.681,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.693, 11.787, -46.200, 26.34,,,,,,,,,,,,,,,,
 21:30:24.767,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.720, 11.907, -46.580, 26.32,,,,,,,,,,,,,,,,
 21:30:24.887,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.660, 11.920, -46.533, 26.35,,,,,,,,,,,,,,,,
 21:30:24.983,COM3,, -0.005, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.627, 11.880, -46.693, 26.34,,,,,,,,,,,,,,,,
 21:30:25.091,COM3,, -0.004, -0.014, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.667, 11.773, -46.360, 26.35,,,,,,,,,,,,,,,,
 21:30:25.190,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.627, 11.967, -46.460, 26.38,,,,,,,,,,,,,,,,
 21:30:25.287,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.587, 11.893, -46.533, 26.37,,,,,,,,,,,,,,,,
 21:30:25.340,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.700, 11.753, -46.607, 26.32,,,,,,,,,,,,,,,,
 21:30:25.441,COM3,, -0.004, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.286, -71.406, -34.647, 11.880, -46.627, 26.35,,,,,,,,,,,,,,,,
 21:30:25.534,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.627, 11.900, -46.420, 26.37,,,,,,,,,,,,,,,,
 21:30:25.699,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.740, 11.780, -46.533, 26.30,,,,,,,,,,,,,,,,
