Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:10:52.131,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.973, 14.847, -41.420, 26.62,,,,,,,,,,,,,,,,
 17:10:52.205,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.060, 14.847, -41.133, 26.64,,,,,,,,,,,,,,,,
 17:10:52.334,COM3,, 0.000, -0.007, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.060, 14.880, -41.160, 26.62,,,,,,,,,,,,,,,,
 17:10:52.424,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.807, -41.487, 26.60,,,,,,,,,,,,,,,,
 17:10:52.566,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.960, 14.867, -41.320, 26.65,,,,,,,,,,,,,,,,
 17:10:52.568,COM3,, -0.001, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.987, 14.860, -41.353, 26.64,,,,,,,,,,,,,,,,
 17:10:52.668,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.973, 14.933, -41.373, 26.60,,,,,,,,,,,,,,,,
 17:10:52.766,COM3,, 0.000, -0.009, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.033, 14.860, -41.247, 26.60,,,,,,,,,,,,,,,,
 17:10:52.862,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.940, 14.933, -41.240, 26.65,,,,,,,,,,,,,,,,
 17:10:52.961,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.073, 14.827, -41.160, 26.64,,,,,,,,,,,,,,,,
 17:10:53.069,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.133, 14.927, -41.127, 26.67,,,,,,,,,,,,,,,,
 17:10:53.180,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.947, 14.873, -41.100, 26.64,,,,,,,,,,,,,,,,
 17:10:53.279,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.020, 14.913, -41.107, 26.65,,,,,,,,,,,,,,,,
 17:10:53.375,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.033, 14.853, -41.000, 26.62,,,,,,,,,,,,,,,,
 17:10:53.461,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.020, 14.813, -41.340, 26.65,,,,,,,,,,,,,,,,
 17:10:53.567,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.040, 14.813, -41.260, 26.64,,,,,,,,,,,,,,,,
 17:10:53.666,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.033, 14.940, -41.400, 26.67,,,,,,,,,,,,,,,,
 17:10:53.760,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -17.980, 14.847, -41.253, 26.64,,,,,,,,,,,,,,,,
 17:10:53.877,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.053, 14.887, -41.133, 26.64,,,,,,,,,,,,,,,,
 17:10:53.974,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.087, 14.873, -41.093, 26.64,,,,,,,,,,,,,,,,
 17:10:54.074,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.040, 14.820, -41.293, 26.65,,,,,,,,,,,,,,,,
 17:10:54.171,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.220, -0.544, -50.955, -18.013, 14.953, -41.180, 26.64,,,,,,,,,,,,,,,,
