Time Lapsed,Absolute_Acceleration
593.836,1.428
593.932,1.427
594.036,1.427
594.134,1.428
594.248,1.427
594.344,1.428
594.440,1.428
594.543,1.427
594.633,1.428
594.761,1.428
594.858,1.428
594.965,1.427
595.058,1.428
595.110,1.429
595.274,1.428
595.376,1.427
595.484,1.428
595.577,1.427
595.678,1.427
595.802,1.428
595.887,1.429
595.915,1.427
596.021,1.428
596.119,1.428
596.221,1.427
596.320,1.429
596.409,1.428
596.506,1.428
596.629,1.428
596.706,1.428
596.811,1.428
596.913,1.428
597.015,1.428
597.116,1.428
597.219,1.429
597.322,1.427
597.423,1.428
597.525,1.429
597.629,1.427
597.731,1.428
597.835,1.429
597.935,1.427
598.038,1.428
598.141,1.429
598.246,1.428
598.346,1.428
598.448,1.427
598.579,1.428
598.658,1.427
598.779,1.428
598.858,1.427
598.982,1.429
599.016,1.427
599.123,1.428
599.266,1.428
599.305,1.428
599.398,1.428
599.575,1.428
599.603,1.429
599.702,1.428
599.811,1.428
599.907,1.427
600.008,1.429
600.111,1.429
650.212,1.428
650.315,1.427
650.406,1.429
650.496,1.427
650.597,1.428
650.702,1.429
650.818,1.428
650.906,1.428
651.018,1.428
651.114,1.427
651.219,1.429
651.319,1.429
651.417,1.427
651.519,1.428
651.624,1.427
651.725,1.428
651.827,1.428
651.930,1.428
652.033,1.428
652.133,1.427
652.243,1.429
652.339,1.428
652.440,1.428
652.543,1.427
652.655,1.427
652.760,1.428
652.855,1.429
652.953,1.428
653.010,1.427
653.117,1.429
653.262,1.428
653.290,1.428
653.387,1.428
653.489,1.429
653.592,1.428
653.771,1.428
653.798,1.429
653.899,1.427
654.003,1.428
654.106,1.427
654.206,1.429
654.308,1.427
654.388,1.428
654.493,1.428
654.591,1.429
654.694,1.429
654.817,1.428
654.906,1.428
655.002,1.428
655.104,1.429
655.229,1.427
655.308,1.429
655.411,1.428
655.514,1.428
655.621,1.428
655.719,1.427
655.820,1.427
655.923,1.427
656.030,1.428
656.129,1.427
656.230,1.428
656.332,1.429
656.436,1.429
656.538,1.428
656.655,1.428
656.743,1.428
656.844,1.427
656.945,1.428
657.065,1.428
657.096,1.428
657.258,1.428
657.285,1.428
657.390,1.429
657.486,1.427
657.589,1.427
657.693,1.429
657.793,1.429
657.891,1.428
657.997,1.429
658.076,1.428
658.175,1.428
658.278,1.428
658.381,1.428
658.492,1.428
658.586,1.428
658.707,1.429
658.789,1.429
658.904,1.427
659.000,1.428
659.097,1.428
659.200,1.428
659.301,1.428
659.406,1.428
659.507,1.428
659.610,1.429
659.711,1.428
659.815,1.428
659.916,1.428
660.019,1.427
660.124,1.428
710.224,1.429
710.328,1.429
710.428,1.428
710.531,1.427
710.634,1.428
710.749,1.428
710.838,1.428
710.868,1.429
711.065,1.428
711.081,1.428
711.172,1.428
711.276,1.429
711.374,1.428
711.477,1.427
711.579,1.428
711.681,1.429
711.801,1.428
711.864,1.428
711.964,1.427
712.068,1.429
712.168,1.428
712.277,1.427
712.376,1.428
712.476,1.429
712.578,1.428
712.683,1.427
712.786,1.428
712.905,1.429
712.992,1.429
713.091,1.427
713.194,1.428
713.315,1.428
713.398,1.427
713.496,1.428
713.602,1.429
713.707,1.428
713.808,1.428
713.910,1.428
714.013,1.428
714.117,1.428
714.217,1.427
714.320,1.428
714.422,1.427
714.526,1.427
714.628,1.427
714.739,1.427
714.758,1.427
714.857,1.428
714.958,1.428
715.059,1.427
715.175,1.429
715.271,1.429
715.368,1.427
715.475,1.428
715.576,1.429
715.675,1.427
715.754,1.429
715.858,1.429
715.959,1.429
716.062,1.429
716.162,1.428
716.266,1.429
716.393,1.428
716.479,1.427
716.576,1.428
716.675,1.428
716.778,1.429
716.849,1.429
716.989,1.427
717.086,1.429
717.186,1.427
717.313,1.428
717.391,1.428
717.494,1.428
717.597,1.426
717.699,1.428
717.803,1.429
717.905,1.428
718.006,1.429
718.047,1.428
718.209,1.428
718.314,1.428
718.415,1.427
718.518,1.428
718.545,1.428
718.645,1.428
718.746,1.427
718.849,1.428
718.953,1.427
719.053,1.427
719.150,1.427
719.259,1.429
719.363,1.429
719.463,1.428
719.561,1.429
719.645,1.429
719.747,1.429
719.850,1.429
719.954,1.429
720.055,1.429
720.157,1.428
1010.258,1.428
1010.364,1.427
1010.465,1.429
1010.565,1.427
1010.668,1.428
1010.771,1.428
1010.874,1.429
1010.985,1.429
1011.078,1.427
1011.181,1.428
1011.239,1.427
1011.398,1.427
1011.494,1.429
1011.592,1.427
1011.690,1.428
1011.795,1.428
1011.898,1.429
1012.000,1.428
1012.103,1.428
1012.205,1.428
1012.308,1.428
1012.334,1.428
1012.512,1.428
1012.540,1.429
1012.636,1.429
1012.739,1.428
1012.852,1.428
1012.948,1.429
1013.053,1.429
1013.150,1.429
1013.237,1.428
1013.332,1.427
1013.433,1.429
1013.559,1.429
1013.639,1.429
1013.741,1.427
1013.842,1.428
1013.947,1.429
1014.048,1.427
1014.150,1.429
1014.355,1.428
1014.357,1.429
1014.459,1.428
1014.561,1.429
1014.662,1.428
1014.764,1.427
1014.868,1.428
1014.971,1.427
1015.074,1.429
1015.175,1.429
1015.277,1.429
1015.396,1.427
1015.450,1.427
1015.584,1.428
1015.685,1.428
1015.809,1.429
1015.890,1.428
1015.993,1.428
1016.096,1.429
1016.131,1.429
1016.226,1.428
1016.325,1.427
1016.427,1.429
1016.531,1.428
1016.633,1.429
1016.733,1.429
1016.822,1.428
1016.940,1.427
1017.041,1.428
1017.145,1.427
1017.236,1.428
1017.326,1.428
1017.426,1.429
1017.531,1.428
1017.645,1.428
1017.742,1.429
1017.838,1.428
1017.940,1.429
1018.041,1.429
1018.143,1.427
1018.248,1.427
1018.351,1.428
1018.452,1.429
1018.555,1.428
1018.656,1.428
1018.760,1.427
1018.862,1.428
1018.963,1.429
1019.073,1.427
1019.167,1.429
1019.270,1.428
1019.374,1.428
1019.484,1.427
1019.581,1.428
1019.650,1.428
1019.783,1.428
1019.886,1.427
1019.913,1.427
1020.090,1.428
1020.118,1.428
1070.216,1.428
1070.319,1.428
1070.422,1.429
1070.516,1.428
1070.628,1.429
1070.730,1.429
1070.810,1.427
