Time Lapsed,Magnetic field Y
719.645,11.313
719.747,11.42
719.850,11.433
719.954,11.427
720.055,11.24
720.157,11.227
1010.258,11.307
1010.364,11.393
1010.465,11.367
1010.565,11.32
1010.668,11.393
1010.771,11.307
1010.874,11.373
1010.985,11.42
1011.078,11.54
1011.181,11.333
1011.239,11.447
1011.398,11.46
1011.494,11.387
1011.592,11.367
1011.690,11.327
1011.795,11.38
1011.898,11.447
1012.000,11.347
1012.103,11.34
1012.205,11.433
1012.308,11.387
1012.334,11.287
1012.512,11.307
1012.540,11.353
1012.636,11.453
1012.739,11.34
1012.852,11.333
1012.948,11.373
1013.053,11.267
1013.150,11.26
1013.237,11.347
1013.332,11.353
1013.433,11.38
1013.559,11.24
1013.639,11.26
1013.741,11.327
1013.842,11.193
1013.947,11.34
1014.048,11.433
1014.150,11.373
1014.355,11.373
1014.357,11.333
1014.459,11.34
1014.561,11.42
1014.662,11.347
1014.764,11.273
1014.868,11.327
1014.971,11.287
1015.074,11.327
1015.175,11.307
1015.277,11.353
1015.396,11.353
1015.450,11.293
1015.584,11.36
1015.685,11.353
1015.809,11.373
1015.890,11.327
1015.993,11.287
1016.096,11.26
1016.131,11.253
1016.226,11.267
1016.325,11.313
1016.427,11.447
1016.531,11.473
1016.633,11.26
1016.733,11.293
1016.822,11.447
1016.940,11.293
1017.041,11.36
1017.145,11.26
1017.236,11.387
1017.326,11.413
1017.426,11.407
1017.531,11.253
1017.645,11.353
1017.742,11.28
1017.838,11.36
1017.940,11.353
1018.041,11.347
1018.143,11.34
1018.248,11.287
1018.351,11.387
1018.452,11.313
1018.555,11.247
1018.656,11.313
1018.760,11.287
1018.862,11.42
1018.963,11.373
1019.073,11.373
1019.167,11.253
1019.270,11.28
1019.374,11.32
1019.484,11.393
1019.581,11.32
1019.650,11.353
1019.783,11.32
1019.886,11.34
1019.913,11.333
1020.090,11.327
1020.118,11.313
1070.216,11.307
1070.319,11.373
1070.422,11.3
1070.516,11.347
1070.628,11.28
1070.730,11.327
1070.810,11.427
1070.917,11.353
1071.019,11.38
1071.124,11.38
1071.222,11.467
1071.322,11.453
1071.421,11.307
1071.528,11.26
1071.645,11.353
1071.734,11.447
1071.830,11.313
1071.933,11.247
1072.057,11.333
1072.138,11.26
1072.239,11.347
1072.381,11.28
1072.447,11.393
1072.547,11.44
1072.654,11.453
1072.760,11.347
1072.859,11.26
1072.957,11.313
1073.059,11.367
1073.162,11.373
1073.265,11.333
1073.367,11.287
1073.483,11.267
1073.570,11.32
1073.673,11.34
1073.776,11.293
1073.894,11.3
1073.981,11.353
1074.009,11.36
1074.107,11.287
1074.217,11.207
1074.314,11.32
1074.414,11.367
1074.595,11.36
1074.603,11.387
1074.722,11.38
1074.800,11.227
1074.903,11.327
1075.006,11.273
1075.108,11.273
1075.205,11.34
1075.320,11.273
1075.416,11.427
1075.521,11.44
1075.619,11.313
1075.731,11.373
1075.830,11.38
1075.927,11.32
1076.028,11.313
1076.131,11.3
1076.234,11.407
1076.337,11.4
1076.439,11.38
1076.542,11.307
1076.643,11.34
1076.746,11.413
1076.847,11.36
1076.951,11.38
1077.052,11.26
1077.156,11.307
1077.258,11.28
1077.364,11.347
1077.462,11.38
1077.568,11.333
1077.597,11.46
1077.695,11.407
1077.793,11.28
1077.891,11.387
1078.006,11.267
1078.105,11.36
1078.203,11.36
1078.300,11.32
1078.407,11.4
1078.510,11.42
1078.627,11.273
1078.692,11.333
1078.795,11.433
1078.896,11.413
1078.998,11.267
1079.105,11.46
1079.204,11.253
1079.306,11.293
1079.409,11.313
1079.516,11.287
1079.614,11.327
1079.728,11.273
1079.817,11.313
1079.920,11.247
1080.021,11.367
1080.141,11.333
1130.228,11.267
1130.331,11.427
1130.432,11.413
1130.533,11.32
1130.637,11.287
1130.741,11.347
1130.841,11.447
1130.945,11.34
1131.003,11.393
1131.152,11.32
1131.252,11.393
1131.354,11.273
1131.382,11.447
1131.568,11.333
1131.586,11.36
1131.687,11.307
1131.866,11.3
1131.894,11.36
1132.002,11.133
1132.099,11.333
1132.198,11.253
1132.302,11.387
1132.403,11.347
1132.481,11.407
1132.583,11.187
1132.687,11.387
1132.788,11.387
1132.890,11.46
1132.991,11.44
1133.094,11.427
1133.198,11.327
1133.300,11.207
1133.406,11.233
1133.504,11.34
1133.607,11.333
1133.710,11.227
1133.815,11.413
1133.923,11.293
1134.021,11.393
1134.140,11.34
1134.229,11.433
1134.325,11.247
1134.425,11.28
1134.551,11.347
1134.633,11.387
1134.732,11.38
1134.834,11.327
1134.874,11.28
1135.040,11.427
1135.143,11.293
1135.171,11.34
1135.347,11.207
1135.376,11.26
1135.472,11.38
1135.577,11.3
1135.680,11.327
1135.783,11.467
1135.883,11.233
1135.976,11.32
1136.088,11.267
1136.190,11.247
1136.269,11.36
1136.389,11.36
1136.472,11.307
1136.577,11.24
1136.673,11.3
1136.782,11.3
1136.887,11.327
1136.986,11.373
1137.089,11.36
1137.193,11.307
1137.293,11.32
1137.394,11.293
1137.497,11.3
1137.600,11.353
1137.702,11.273
1137.815,11.193
1137.906,11.2
1138.011,11.34
1138.112,11.36
1138.227,11.407
1138.315,11.387
1138.421,11.367
1138.523,11.373
1138.625,11.367
1138.727,11.44
1138.829,11.34
1138.931,11.273
1139.035,11.16
1139.061,11.26
1139.161,11.313
1139.340,11.32
1139.368,11.373
1139.471,11.213
1139.574,11.247
1139.677,11.373
1139.775,11.42
1139.876,11.48
1139.978,11.267
1140.065,11.32
1140.161,11.347
1190.284,11.247
1190.387,11.28
1190.487,11.253
1190.570,11.353
1190.692,11.313
1190.775,11.42
1190.878,11.34
1190.980,11.4
1191.081,11.387
1191.185,11.26
1191.286,11.26
1191.388,11.333
1191.491,11.367
1191.595,11.333
1191.695,11.42
1191.807,11.22
1191.902,11.367
1192.004,11.327
1192.106,11.347
1192.226,11.293
1192.315,11.413
1192.412,11.327
1192.540,11.273
1192.637,11.333
1192.721,11.36
1192.751,11.34
1192.925,11.293
1192.961,11.36
1193.060,11.407
1193.158,11.44
1193.266,11.327
1193.359,11.34
1193.540,11.34
1193.567,11.387
1193.665,11.227
1193.770,11.327
1193.850,11.413
1193.949,11.247
1194.063,11.18
1194.154,11.313
1194.257,11.307
1194.360,11.287
1194.476,11.313
1194.562,11.287
1194.666,11.433
1194.801,11.38
1194.871,11.3
1194.976,11.347
1195.075,11.36
1195.177,11.387
1195.280,11.26
1195.384,11.367
1195.486,11.273
1195.586,11.333
1195.715,11.36
1195.793,11.32
1195.900,11.193
1195.997,11.293
1196.125,11.293
1196.204,11.313
1196.311,11.24
1196.341,11.287
1196.509,11.313
1196.634,11.353
1196.652,11.327
1196.741,11.28
1196.841,11.287
1196.943,11.3
1197.043,11.227
1197.148,11.267
1197.253,11.247
1197.429,11.34
1197.457,11.44
1197.557,11.34
1197.660,11.287
1197.739,11.333
1197.840,11.253
1197.943,11.32
1198.149,11.307
1198.153,11.32
1198.253,11.34
1198.352,11.28
1198.472,11.44
1198.560,11.42
1198.660,11.38
1198.761,11.393
1198.885,11.293
1198.966,11.413
1199.074,11.333
1199.171,11.3
1199.278,11.36
1199.376,11.307
1199.478,11.327
1199.582,11.293
1199.688,11.313
1199.788,11.427
1199.889,11.353
1199.999,11.307
1200.094,11.393
1200.195,11.253
1250.310,11.267
1250.330,11.373
1250.502,11.393
1250.530,11.453
1250.630,11.313
1250.746,11.34
1250.833,11.327
1250.936,11.307
1251.045,11.393
1251.145,11.273
1251.242,11.307
1251.326,11.273
1251.449,11.347
1251.531,11.327
1251.629,11.34
1251.731,11.4
1251.838,11.36
1251.939,11.367
1252.040,11.3
1252.148,11.327
1252.244,11.353
1252.346,11.307
1252.447,11.273
1252.561,11.407
1252.657,11.387
1252.756,11.36
1252.858,11.293
1252.963,11.407
1253.062,11.3
1253.166,11.307
1253.268,11.293
1253.369,11.22
1253.472,11.333
1253.575,11.227
1253.678,11.273
1253.779,11.32
1253.883,11.347
1253.985,11.313
1254.025,11.347
1254.189,11.333
1254.292,11.367
1254.320,11.32
1254.420,11.267
1254.520,11.427
1254.622,11.313
1254.721,11.26
1254.834,11.3
1254.928,11.433
1255.033,11.327
1255.131,11.293
1255.238,11.387
1255.322,11.38
1255.418,11.367
1255.525,11.393
1255.622,11.367
1255.726,11.38
1255.829,11.32
1255.935,11.273
1256.033,11.253
1256.160,11.3
1256.237,11.367
1256.340,11.307
1256.443,11.373
1256.559,11.407
1256.646,11.373
1256.749,11.287
1256.852,11.32
1256.970,11.24
1257.058,11.36
1257.158,11.32
1257.261,11.273
1257.363,11.24
1257.467,11.24
1257.570,11.413
1257.670,11.373
1257.773,11.253
1257.877,11.327
1257.978,11.3
1258.116,11.307
1258.119,11.38
1258.208,11.28
1258.395,11.373
1258.413,11.307
1258.514,11.373
1258.614,11.2
1258.717,11.36
1258.807,11.24
1258.905,11.293
1259.026,11.327
1259.103,11.333
1259.207,11.313
1259.310,11.36
1259.412,11.393
1259.515,11.233
1259.616,11.28
1259.719,11.333
1259.820,11.213
1259.925,11.367
1260.027,11.387
1260.128,11.407
1310.233,11.407
1310.333,11.32
1310.433,11.247
1310.538,11.373
1310.644,11.307
1310.744,11.313
1310.846,11.267
1310.967,11.4
1311.051,11.273
1311.156,11.36
1311.255,11.293
1311.380,11.253
1311.460,11.32
1311.563,11.32
1311.702,11.327
1311.766,11.38
