Time Lapsed,Magnetic field X
710.868,-31.993
711.065,-32.06
711.081,-32.153
711.172,-32.067
711.276,-32.033
711.374,-32.047
711.477,-32.04
711.579,-32.013
711.681,-32.06
711.801,-32.073
711.864,-32.12
711.964,-32.007
712.068,-32.08
712.168,-31.973
712.277,-32.073
712.376,-32.127
712.476,-32.113
712.578,-32.093
712.683,-32.053
712.786,-32.147
712.905,-32.12
712.992,-32.027
713.091,-32.08
713.194,-32.047
713.315,-32.06
713.398,-31.947
713.496,-31.873
713.602,-32.147
713.707,-32.027
713.808,-32.073
713.910,-32.033
714.013,-31.907
714.117,-32.02
714.217,-32.04
714.320,-31.94
714.422,-31.947
714.526,-31.973
714.628,-32.033
714.739,-31.98
714.758,-32.06
714.857,-32.073
714.958,-31.967
715.059,-32.167
715.175,-32.067
715.271,-31.967
715.368,-32.04
715.475,-32.127
715.576,-32.113
715.675,-32.0
715.754,-32.107
715.858,-31.947
715.959,-31.98
716.062,-32.073
716.162,-32.027
716.266,-32.02
716.393,-32.14
716.479,-32.113
716.576,-32.093
716.675,-31.967
716.778,-32.093
716.849,-32.093
716.989,-32.093
717.086,-32.1
717.186,-31.987
717.313,-32.0
717.391,-32.073
717.494,-32.16
717.597,-32.013
717.699,-32.113
717.803,-32.053
717.905,-31.96
718.006,-32.0
718.047,-32.12
718.209,-31.96
718.314,-32.12
718.415,-31.98
718.518,-32.1
718.545,-32.093
718.645,-32.033
718.746,-32.087
718.849,-32.04
718.953,-32.093
719.053,-32.12
719.150,-32.08
719.259,-32.187
719.363,-32.073
719.463,-31.98
719.561,-32.1
719.645,-32.08
719.747,-32.087
719.850,-32.04
719.954,-32.0
720.055,-32.013
720.157,-31.993
1010.258,-32.013
1010.364,-32.02
1010.465,-32.013
1010.565,-32.127
1010.668,-32.067
1010.771,-32.093
1010.874,-32.08
1010.985,-31.92
1011.078,-31.987
1011.181,-32.12
1011.239,-32.053
1011.398,-32.147
1011.494,-31.96
1011.592,-32.073
1011.690,-32.12
1011.795,-32.067
1011.898,-32.06
1012.000,-31.987
1012.103,-31.98
1012.205,-32.113
1012.308,-31.993
1012.334,-32.033
1012.512,-32.033
1012.540,-32.047
1012.636,-32.127
1012.739,-32.06
1012.852,-31.993
1012.948,-31.96
1013.053,-32.02
1013.150,-32.02
1013.237,-32.08
1013.332,-31.993
1013.433,-32.067
1013.559,-31.967
1013.639,-32.067
1013.741,-32.033
1013.842,-32.107
1013.947,-32.113
1014.048,-32.027
1014.150,-32.027
1014.355,-32.06
1014.357,-32.033
1014.459,-32.033
1014.561,-32.147
1014.662,-32.007
1014.764,-32.093
1014.868,-31.967
1014.971,-32.013
1015.074,-32.127
1015.175,-31.993
1015.277,-32.04
1015.396,-32.1
1015.450,-32.073
1015.584,-32.153
1015.685,-32.087
1015.809,-31.98
1015.890,-32.073
1015.993,-32.14
1016.096,-32.073
1016.131,-32.073
1016.226,-31.927
1016.325,-32.06
1016.427,-31.973
1016.531,-32.107
1016.633,-32.04
1016.733,-31.967
1016.822,-31.927
1016.940,-32.06
1017.041,-32.067
1017.145,-32.127
1017.236,-32.16
1017.326,-32.147
1017.426,-32.127
1017.531,-32.053
1017.645,-32.08
1017.742,-31.987
1017.838,-32.047
1017.940,-32.087
1018.041,-32.093
1018.143,-32.1
1018.248,-32.06
1018.351,-32.08
1018.452,-32.047
1018.555,-32.133
1018.656,-31.893
1018.760,-32.02
1018.862,-32.08
1018.963,-32.02
1019.073,-32.047
1019.167,-32.027
1019.270,-32.053
1019.374,-32.073
1019.484,-32.053
1019.581,-32.107
1019.650,-32.28
1019.783,-32.133
1019.886,-32.087
1019.913,-32.067
1020.090,-32.067
1020.118,-32.067
1070.216,-32.08
1070.319,-32.073
1070.422,-32.093
1070.516,-31.967
1070.628,-32.027
1070.730,-32.02
1070.810,-32.0
1070.917,-32.047
1071.019,-32.087
1071.124,-32.113
1071.222,-32.233
1071.322,-32.087
1071.421,-32.033
1071.528,-31.96
1071.645,-32.027
1071.734,-32.153
1071.830,-32.067
1071.933,-32.053
1072.057,-31.927
1072.138,-31.913
1072.239,-32.047
1072.381,-32.027
1072.447,-32.087
1072.547,-31.953
1072.654,-32.027
1072.760,-32.107
1072.859,-32.093
1072.957,-32.093
1073.059,-31.987
1073.162,-31.993
1073.265,-32.013
1073.367,-32.027
1073.483,-32.007
1073.570,-32.093
1073.673,-32.047
1073.776,-32.027
1073.894,-32.007
1073.981,-32.0
1074.009,-32.073
1074.107,-32.053
1074.217,-31.98
1074.314,-32.087
1074.414,-32.06
1074.595,-32.073
1074.603,-32.0
1074.722,-31.913
1074.800,-32.007
1074.903,-32.08
1075.006,-32.073
1075.108,-31.96
1075.205,-31.96
1075.320,-32.007
1075.416,-32.013
1075.521,-32.027
1075.619,-31.887
1075.731,-31.94
1075.830,-32.047
1075.927,-32.12
1076.028,-32.033
1076.131,-32.1
1076.234,-32.02
1076.337,-32.027
1076.439,-32.033
1076.542,-31.9
1076.643,-32.013
1076.746,-31.867
1076.847,-32.02
1076.951,-32.147
1077.052,-31.993
