Time Lapsed,Temperature
653.798,30.01
653.899,29.96
654.003,30.0
654.106,29.98
654.206,30.0
654.308,30.03
654.388,30.0
654.493,29.96
654.591,29.96
654.694,29.96
654.817,29.93
654.906,30.01
655.002,29.96
655.104,29.98
655.229,29.96
655.308,29.96
655.411,29.98
655.514,29.95
655.621,29.96
655.719,30.0
655.820,30.0
655.923,29.96
656.030,29.98
656.129,29.96
656.230,29.98
656.332,29.96
656.436,29.98
656.538,29.96
656.655,29.96
656.743,29.96
656.844,30.0
656.945,29.96
657.065,29.93
657.096,29.96
657.258,30.0
657.285,30.0
657.390,30.0
657.486,30.0
657.589,30.0
657.693,29.96
657.793,29.96
657.891,30.0
657.997,29.98
658.076,29.96
658.175,29.96
658.278,30.01
658.381,29.93
658.492,29.96
658.586,29.96
658.707,29.98
658.789,29.96
658.904,29.98
659.000,29.96
659.097,29.92
659.200,29.98
659.301,29.98
659.406,29.93
659.507,29.96
659.610,29.93
659.711,30.0
659.815,29.95
659.916,29.93
660.019,29.93
660.124,29.96
710.224,29.95
710.328,29.98
710.428,29.98
710.531,29.98
710.634,29.93
710.749,29.95
710.838,29.98
710.868,29.92
711.065,29.96
711.081,29.93
711.172,29.92
711.276,29.93
711.374,29.92
711.477,29.95
711.579,29.93
711.681,29.9
711.801,29.96
711.864,29.9
711.964,29.95
712.068,29.93
712.168,29.92
712.277,29.92
712.376,29.95
712.476,29.93
712.578,29.93
712.683,29.92
712.786,29.93
712.905,29.93
712.992,29.93
713.091,29.95
713.194,29.96
713.315,29.88
713.398,29.93
713.496,29.96
713.602,29.93
713.707,29.95
713.808,29.93
713.910,29.87
714.013,29.9
714.117,29.9
714.217,29.95
714.320,29.92
714.422,29.92
714.526,29.93
714.628,29.93
714.739,29.96
714.758,29.95
714.857,29.93
714.958,29.92
715.059,29.96
715.175,29.93
715.271,29.95
715.368,29.9
715.475,29.96
715.576,29.93
715.675,29.9
715.754,29.9
715.858,29.95
715.959,29.9
716.062,29.92
716.162,29.92
716.266,29.92
716.393,29.92
716.479,29.95
716.576,29.92
716.675,29.93
716.778,29.93
716.849,29.93
716.989,29.9
717.086,29.93
717.186,29.93
717.313,29.93
717.391,29.92
717.494,29.93
717.597,29.92
717.699,29.95
717.803,29.9
717.905,29.9
718.006,29.93
718.047,29.88
718.209,29.9
718.314,29.9
718.415,29.93
718.518,29.95
718.545,29.9
718.645,29.93
718.746,29.93
718.849,29.92
718.953,29.92
719.053,29.93
719.150,29.92
719.259,29.88
719.363,29.92
719.463,29.88
719.561,29.92
719.645,29.9
719.747,29.87
719.850,29.92
719.954,29.9
720.055,29.92
720.157,29.93
1010.258,29.9
1010.364,29.92
1010.465,29.93
1010.565,29.85
1010.668,29.88
1010.771,29.9
1010.874,29.87
1010.985,29.9
1011.078,29.9
1011.181,29.92
1011.239,29.87
1011.398,29.9
1011.494,29.9
1011.592,29.92
1011.690,29.88
1011.795,29.92
1011.898,29.92
1012.000,29.87
1012.103,29.88
1012.205,29.93
1012.308,29.9
1012.334,29.93
1012.512,29.88
1012.540,29.9
1012.636,29.92
1012.739,29.87
1012.852,29.9
1012.948,29.9
1013.053,29.93
1013.150,29.87
1013.237,29.87
1013.332,29.87
1013.433,29.9
1013.559,29.85
1013.639,29.92
1013.741,29.87
1013.842,29.92
1013.947,29.9
1014.048,29.87
1014.150,29.9
