Time,Acceleration_X
1011.078,-0.008
1011.181,-0.009
1011.239,-0.008
1011.398,-0.008
1011.494,-0.009
1011.592,-0.008
1011.690,-0.009
1011.795,-0.009
1011.898,-0.009
1012.000,-0.009
1012.103,-0.009
1012.205,-0.008
1012.308,-0.009
1012.334,-0.009
1012.512,-0.009
1012.540,-0.009
1012.636,-0.009
1012.739,-0.009
1012.852,-0.008
1012.948,-0.009
1013.053,-0.009
1013.150,-0.009
1013.237,-0.008
1013.332,-0.008
1013.433,-0.009
1013.559,-0.009
1013.639,-0.009
1013.741,-0.008
1013.842,-0.009
1013.947,-0.009
1014.048,-0.008
1014.150,-0.009
1014.355,-0.008
1014.357,-0.009
1014.459,-0.009
1014.561,-0.009
1014.662,-0.008
1014.764,-0.008
1014.868,-0.009
1014.971,-0.008
1015.074,-0.009
1015.175,-0.009
1015.277,-0.009
1015.396,-0.008
1015.450,-0.008
1015.584,-0.008
1015.685,-0.009
1015.809,-0.009
1015.890,-0.009
1015.993,-0.008
1016.096,-0.009
1016.131,-0.009
1016.226,-0.009
1016.325,-0.008
1016.427,-0.009
1016.531,-0.009
1016.633,-0.009
1016.733,-0.009
1016.822,-0.009
1016.940,-0.008
1017.041,-0.008
1017.145,-0.008
1017.236,-0.009
1017.326,-0.009
1017.426,-0.009
1017.531,-0.009
1017.645,-0.009
1017.742,-0.009
1017.838,-0.009
1017.940,-0.009
1018.041,-0.009
1018.143,-0.008
1018.248,-0.008
1018.351,-0.009
1018.452,-0.009
1018.555,-0.009
1018.656,-0.009
1018.760,-0.008
1018.862,-0.009
1018.963,-0.009
1019.073,-0.008
1019.167,-0.009
1019.270,-0.009
1019.374,-0.008
1019.484,-0.008
1019.581,-0.009
1019.650,-0.009
1019.783,-0.009
1019.886,-0.008
1019.913,-0.008
1020.090,-0.009
1020.118,-0.009
1070.216,-0.009
1070.319,-0.009
1070.422,-0.009
1070.516,-0.008
1070.628,-0.009
1070.730,-0.009
1070.810,-0.008
1070.917,-0.008
1071.019,-0.009
1071.124,-0.009
1071.222,-0.009
1071.322,-0.009
1071.421,-0.009
1071.528,-0.008
1071.645,-0.009
1071.734,-0.008
1071.830,-0.009
1071.933,-0.009
1072.057,-0.009
1072.138,-0.009
1072.239,-0.009
1072.381,-0.008
1072.447,-0.008
1072.547,-0.008
1072.654,-0.008
1072.760,-0.008
1072.859,-0.008
1072.957,-0.009
1073.059,-0.009
1073.162,-0.009
1073.265,-0.009
1073.367,-0.009
1073.483,-0.009
1073.570,-0.009
1073.673,-0.009
1073.776,-0.008
1073.894,-0.009
1073.981,-0.009
1074.009,-0.008
1074.107,-0.009
1074.217,-0.008
1074.314,-0.009
1074.414,-0.009
1074.595,-0.008
1074.603,-0.008
1074.722,-0.008
1074.800,-0.009
1074.903,-0.009
1075.006,-0.009
1075.108,-0.009
1075.205,-0.009
1075.320,-0.009
1075.416,-0.009
1075.521,-0.009
1075.619,-0.008
1075.731,-0.008
1075.830,-0.008
1075.927,-0.008
1076.028,-0.009
1076.131,-0.008
1076.234,-0.009
1076.337,-0.009
1076.439,-0.008
1076.542,-0.008
1076.643,-0.009
1076.746,-0.009
1076.847,-0.009
1076.951,-0.008
1077.052,-0.008
1077.156,-0.009
1077.258,-0.009
1077.364,-0.008
1077.462,-0.009
1077.568,-0.009
1077.597,-0.009
1077.695,-0.008
1077.793,-0.008
1077.891,-0.009
1078.006,-0.009
1078.105,-0.009
1078.203,-0.009
1078.300,-0.009
1078.407,-0.008
1078.510,-0.009
1078.627,-0.008
1078.692,-0.008
1078.795,-0.009
1078.896,-0.008
1078.998,-0.008
1079.105,-0.009
1079.204,-0.009
1079.306,-0.009
1079.409,-0.009
1079.516,-0.008
1079.614,-0.009
1079.728,-0.008
1079.817,-0.009
1079.920,-0.008
1080.021,-0.009
1080.141,-0.009
1130.228,-0.008
1130.331,-0.008
1130.432,-0.009
1130.533,-0.009
1130.637,-0.009
1130.741,-0.01
1130.841,-0.009
1130.945,-0.009
1131.003,-0.009
1131.152,-0.009
1131.252,-0.009
1131.354,-0.009
1131.382,-0.009
1131.568,-0.008
