Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:07:54.837,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.100, 12.087, 8.973, 27.71,,,,,,,,,,,,,,,,
 20:07:54.944,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.187, 12.000, 9.320, 27.71,,,,,,,,,,,,,,,,
 20:07:55.019,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.267, 12.060, 9.607, 27.68,,,,,,,,,,,,,,,,
 20:07:55.124,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.267, 12.047, 9.360, 27.66,,,,,,,,,,,,,,,,
 20:07:55.247,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.173, 11.947, 9.287, 27.68,,,,,,,,,,,,,,,,
 20:07:55.357,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.160, 12.080, 9.433, 27.64,,,,,,,,,,,,,,,,
 20:07:55.453,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.187, 12.067, 9.267, 27.69,,,,,,,,,,,,,,,,
 20:07:55.547,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.120, 12.027, 9.480, 27.71,,,,,,,,,,,,,,,,
 20:07:55.682,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.120, 12.147, 9.093, 27.69,,,,,,,,,,,,,,,,
 20:07:55.758,COM3,, -0.013, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.267, 12.060, 9.153, 27.68,,,,,,,,,,,,,,,,
 20:07:55.861,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.180, 11.967, 9.320, 27.68,,,,,,,,,,,,,,,,
 20:07:55.981,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.113, 12.033, 9.020, 27.69,,,,,,,,,,,,,,,,
 20:07:56.064,COM3,, -0.014, -0.011, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.167, 12.047, 9.300, 27.68,,,,,,,,,,,,,,,,
