Time Lapsed,Acceleration_Z
597.322,1.001
597.423,1.002
597.525,1.001
597.629,1.002
597.731,1.002
597.835,1.002
597.935,1.001
598.038,1.001
598.141,1.002
598.246,1.002
598.346,1.001
598.448,1.002
598.579,1.001
598.658,1.001
598.779,1.002
598.858,1.001
598.982,1.001
599.016,1.002
599.123,1.002
599.266,1.003
599.305,1.0
599.398,1.001
599.575,1.003
599.603,1.001
599.702,1.002
599.811,1.002
599.907,1.002
600.008,1.001
600.111,1.001
650.212,1.003
650.315,1.002
650.406,1.002
650.496,1.001
650.597,1.001
650.702,1.001
650.818,1.002
650.906,1.003
651.018,1.001
651.114,1.003
651.219,1.002
651.319,1.001
651.417,1.002
651.519,1.001
651.624,1.002
651.725,1.002
651.827,1.001
651.930,1.003
652.033,1.003
652.133,1.002
652.243,1.002
652.339,1.001
652.440,1.001
652.543,1.001
652.655,1.002
652.760,1.002
652.855,1.002
652.953,1.003
653.010,1.001
653.117,1.002
653.262,1.002
653.290,1.001
653.387,1.002
653.489,1.002
653.592,1.001
653.771,1.002
653.798,1.001
653.899,1.002
654.003,1.002
654.106,1.001
654.206,1.003
654.308,1.002
654.388,1.003
654.493,1.002
654.591,1.002
654.694,1.002
654.817,1.002
654.906,1.002
655.002,1.002
655.104,1.003
655.229,1.002
655.308,1.002
655.411,1.002
655.514,1.002
655.621,1.002
655.719,1.002
655.820,1.002
655.923,1.002
656.030,1.003
656.129,1.0
656.230,1.002
656.332,1.001
656.436,1.002
656.538,1.002
656.655,1.002
656.743,1.003
656.844,1.0
656.945,1.001
657.065,1.003
657.096,1.0
657.258,1.002
657.285,1.002
657.390,1.002
657.486,1.001
657.589,1.0
657.693,1.001
657.793,1.002
657.891,1.002
657.997,1.001
658.076,1.0
658.175,1.002
658.278,1.003
658.381,1.002
658.492,1.0
658.586,1.003
658.707,1.001
658.789,1.001
658.904,1.001
659.000,1.001
659.097,1.001
659.200,1.002
659.301,1.001
659.406,1.003
659.507,1.001
659.610,1.002
659.711,1.001
659.815,1.001
659.916,1.003
660.019,1.001
660.124,1.001
710.224,1.003
710.328,1.002
710.428,1.001
710.531,1.001
710.634,1.002
710.749,1.003
710.838,1.001
710.868,1.003
711.065,1.002
711.081,1.002
711.172,1.001
711.276,1.001
711.374,1.001
711.477,1.002
711.579,1.001
711.681,1.002
711.801,1.002
711.864,1.002
711.964,1.003
712.068,1.002
712.168,1.002
712.277,1.002
712.376,1.002
712.476,1.002
712.578,1.001
712.683,1.001
712.786,1.002
712.905,1.002
712.992,1.002
713.091,1.0
713.194,1.002
713.315,1.001
713.398,1.001
713.496,1.002
713.602,1.002
713.707,1.002
713.808,1.002
713.910,1.002
714.013,1.002
714.117,1.001
714.217,1.001
714.320,1.002
714.422,1.002
714.526,1.002
714.628,1.001
714.739,1.002
714.758,1.001
714.857,1.001
714.958,1.001
715.059,1.001
715.175,1.002
715.271,1.002
715.368,1.002
715.475,1.003
715.576,1.001
715.675,1.002
715.754,1.002
715.858,1.001
715.959,1.0
716.062,1.002
716.162,1.002
716.266,1.0
716.393,1.002
716.479,1.0
716.576,1.001
716.675,1.002
716.778,1.001
716.849,1.002
716.989,1.002
717.086,1.002
717.186,1.002
717.313,1.002
717.391,1.002
717.494,1.002
717.597,1.002
717.699,1.003
717.803,1.001
717.905,1.003
718.006,1.002
718.047,1.001
718.209,1.002
718.314,1.0
718.415,1.001
718.518,1.002
718.545,1.002
718.645,1.001
718.746,1.001
718.849,1.001
718.953,1.001
719.053,1.002
719.150,1.002
719.259,1.001
719.363,1.002
719.463,1.0
719.561,1.002
719.645,1.002
719.747,1.001
719.850,1.002
719.954,1.001
720.055,1.002
720.157,1.001
1010.258,1.001
1010.364,1.001
1010.465,1.002
1010.565,1.001
1010.668,1.001
1010.771,1.0
1010.874,1.001
1010.985,1.003
1011.078,1.003
1011.181,1.002
1011.239,1.001
1011.398,1.002
1011.494,1.003
1011.592,1.0
1011.690,1.002
1011.795,1.002
1011.898,1.001
1012.000,1.002
1012.103,1.001
1012.205,1.002
1012.308,1.0
1012.334,1.002
1012.512,1.002
1012.540,1.003
1012.636,1.003
1012.739,1.003
1012.852,1.001
1012.948,1.001
1013.053,1.002
1013.150,1.002
1013.237,1.003
1013.332,1.002
1013.433,1.002
1013.559,1.002
1013.639,1.002
1013.741,1.001
1013.842,1.002
1013.947,1.001
1014.048,1.002
1014.150,1.002
1014.355,1.001
1014.357,1.003
1014.459,1.002
1014.561,1.001
1014.662,1.002
1014.764,1.0
1014.868,1.003
1014.971,1.002
1015.074,1.002
1015.175,1.002
1015.277,1.002
1015.396,1.001
1015.450,1.002
1015.584,1.001
1015.685,1.003
1015.809,1.002
1015.890,1.002
1015.993,1.003
1016.096,1.002
1016.131,1.002
1016.226,1.002
1016.325,1.001
1016.427,1.002
1016.531,1.002
1016.633,1.001
1016.733,1.002
1016.822,1.002
1016.940,1.002
1017.041,1.001
1017.145,1.002
1017.236,1.001
1017.326,1.002
1017.426,1.003
1017.531,1.002
1017.645,1.002
1017.742,1.003
1017.838,1.001
1017.940,1.001
1018.041,1.001
1018.143,1.002
1018.248,1.001
1018.351,1.001
1018.452,1.002
1018.555,1.001
1018.656,1.002
1018.760,1.001
1018.862,1.001
1018.963,1.002
1019.073,1.001
1019.167,1.002
1019.270,1.002
1019.374,1.001
1019.484,1.003
1019.581,1.001
1019.650,1.003
1019.783,1.001
1019.886,1.001
1019.913,1.002
1020.090,1.002
1020.118,1.002
1070.216,1.001
1070.319,1.002
1070.422,1.002
1070.516,1.001
1070.628,1.002
1070.730,1.002
1070.810,1.001
1070.917,1.001
1071.019,1.002
1071.124,1.001
1071.222,1.003
1071.322,1.002
1071.421,1.001
1071.528,1.003
1071.645,1.002
1071.734,1.001
1071.830,1.001
1071.933,1.002
1072.057,1.001
1072.138,1.001
1072.239,1.002
1072.381,1.002
1072.447,1.0
1072.547,1.001
1072.654,1.002
1072.760,1.001
1072.859,1.002
1072.957,1.002
1073.059,1.0
