Time Lapsed,Magnetic field Z
658.175,9.153
658.278,9.24
658.381,9.253
658.492,9.76
658.586,9.367
658.707,9.287
658.789,9.26
658.904,9.28
659.000,9.207
659.097,9.153
659.200,9.56
659.301,9.413
659.406,9.053
659.507,9.493
659.610,9.373
659.711,9.267
659.815,9.353
659.916,9.06
660.019,9.407
660.124,9.227
710.224,9.473
710.328,9.533
710.428,9.187
710.531,9.427
710.634,9.427
710.749,9.593
710.838,9.327
710.868,9.187
711.065,9.58
711.081,9.553
711.172,9.373
711.276,9.047
711.374,9.333
711.477,9.313
711.579,9.5
711.681,9.42
711.801,9.28
711.864,9.227
711.964,9.28
712.068,9.44
712.168,9.1
712.277,9.033
712.376,9.433
712.476,9.153
712.578,9.34
712.683,9.667
712.786,9.333
712.905,9.233
712.992,8.907
713.091,9.26
713.194,9.44
713.315,9.467
713.398,9.527
713.496,9.053
713.602,9.3
713.707,9.547
713.808,9.52
713.910,9.527
714.013,9.073
714.117,9.46
714.217,9.613
714.320,9.42
714.422,9.307
714.526,9.333
714.628,9.433
714.739,9.347
714.758,9.367
714.857,9.427
714.958,9.46
715.059,9.473
715.175,9.173
715.271,9.513
715.368,9.473
715.475,9.52
715.576,9.0
715.675,9.34
715.754,9.333
715.858,9.52
715.959,9.287
716.062,9.247
716.162,9.573
716.266,9.28
716.393,9.393
716.479,9.353
716.576,9.207
716.675,9.06
716.778,9.253
716.849,9.287
716.989,9.393
717.086,9.32
717.186,9.12
717.313,9.16
717.391,9.527
717.494,9.46
717.597,9.34
717.699,9.227
717.803,9.087
717.905,9.073
718.006,9.18
718.047,9.233
718.209,9.187
718.314,9.187
718.415,9.16
718.518,9.24
718.545,9.34
718.645,9.327
718.746,9.44
718.849,9.64
718.953,9.447
719.053,9.453
719.150,9.527
719.259,9.227
719.363,9.367
719.463,9.067
719.561,9.367
719.645,9.547
719.747,9.367
719.850,9.133
719.954,9.1
720.055,9.4
720.157,9.487
1010.258,9.44
1010.364,9.373
1010.465,9.133
1010.565,9.22
1010.668,9.313
1010.771,9.273
1010.874,9.193
1010.985,9.0
1011.078,9.033
1011.181,9.347
1011.239,9.42
1011.398,9.287
1011.494,9.333
1011.592,9.36
1011.690,9.613
1011.795,9.34
1011.898,9.42
1012.000,9.007
1012.103,9.387
1012.205,9.287
1012.308,9.433
1012.334,9.513
1012.512,9.173
1012.540,9.473
1012.636,9.36
1012.739,9.333
1012.852,9.427
1012.948,9.493
1013.053,9.193
1013.150,9.12
1013.237,9.1
1013.332,9.42
1013.433,9.34
1013.559,9.327
1013.639,9.447
1013.741,9.327
1013.842,9.147
1013.947,9.4
1014.048,9.22
1014.150,9.153
1014.355,9.147
1014.357,9.273
1014.459,9.34
1014.561,9.3
1014.662,9.253
1014.764,9.34
1014.868,9.12
1014.971,8.893
1015.074,9.387
1015.175,9.093
1015.277,9.42
1015.396,9.36
1015.450,9.627
1015.584,9.253
1015.685,9.3
1015.809,8.993
1015.890,9.2
1015.993,9.153
1016.096,9.373
1016.131,9.48
1016.226,9.32
1016.325,9.593
1016.427,9.433
1016.531,9.36
1016.633,9.6
1016.733,9.307
1016.822,9.347
1016.940,9.373
1017.041,9.307
1017.145,9.687
1017.236,9.707
1017.326,9.46
1017.426,9.507
1017.531,9.46
1017.645,9.56
1017.742,9.6
1017.838,9.253
1017.940,9.327
1018.041,9.387
1018.143,9.253
1018.248,9.28
1018.351,9.16
1018.452,9.447
1018.555,9.373
1018.656,9.073
1018.760,9.667
1018.862,9.073
1018.963,9.307
1019.073,9.4
1019.167,9.467
1019.270,9.22
1019.374,9.287
1019.484,9.28
1019.581,9.32
1019.650,9.533
1019.783,9.36
1019.886,9.36
1019.913,9.313
1020.090,9.373
1020.118,9.173
1070.216,9.253
1070.319,9.38
1070.422,9.507
1070.516,9.193
1070.628,9.453
1070.730,9.5
1070.810,9.453
1070.917,9.373
1071.019,9.353
1071.124,9.527
1071.222,9.34
1071.322,9.56
1071.421,9.673
1071.528,9.313
1071.645,9.307
1071.734,9.567
1071.830,9.36
1071.933,9.507
1072.057,9.293
1072.138,9.12
1072.239,9.253
1072.381,9.6
1072.447,9.327
1072.547,9.14
1072.654,9.287
1072.760,9.433
1072.859,9.46
1072.957,9.407
1073.059,9.293
1073.162,9.273
1073.265,9.453
1073.367,9.393
1073.483,9.54
1073.570,9.44
1073.673,9.24
1073.776,9.46
1073.894,9.647
1073.981,9.293
1074.009,9.44
1074.107,9.5
1074.217,9.34
1074.314,9.453
1074.414,9.633
1074.595,9.233
1074.603,9.467
1074.722,9.413
1074.800,9.467
1074.903,9.6
1075.006,9.46
1075.108,9.7
1075.205,9.44
1075.320,9.453
1075.416,9.693
1075.521,9.513
1075.619,9.513
1075.731,9.313
1075.830,9.52
1075.927,9.467
1076.028,9.22
1076.131,9.553
1076.234,9.253
1076.337,9.54
1076.439,9.387
1076.542,9.527
1076.643,9.48
1076.746,9.073
1076.847,9.373
1076.951,9.3
1077.052,9.193
1077.156,9.247
1077.258,9.173
1077.364,9.54
1077.462,9.587
1077.568,9.413
1077.597,9.493
1077.695,9.3
1077.793,9.507
1077.891,9.4
1078.006,9.467
1078.105,9.36
1078.203,9.533
1078.300,9.42
1078.407,9.32
1078.510,9.547
1078.627,9.567
1078.692,9.3
1078.795,9.053
1078.896,9.487
1078.998,9.353
1079.105,9.647
1079.204,9.587
1079.306,9.327
1079.409,9.487
1079.516,9.273
1079.614,9.367
1079.728,9.327
1079.817,9.1
1079.920,9.273
1080.021,9.467
1080.141,9.44
1130.228,9.36
1130.331,9.187
1130.432,9.513
1130.533,9.393
1130.637,9.427
1130.741,9.307
1130.841,9.047
1130.945,9.107
1131.003,9.473
1131.152,9.4
1131.252,9.593
1131.354,9.44
1131.382,9.34
1131.568,9.373
1131.586,9.327
1131.687,9.153
1131.866,9.28
1131.894,9.313
1132.002,9.647
1132.099,9.707
1132.198,9.42
1132.302,9.36
1132.403,9.187
1132.481,9.167
1132.583,9.473
1132.687,9.48
1132.788,9.6
1132.890,9.513
1132.991,9.267
1133.094,8.907
1133.198,9.46
1133.300,9.713
1133.406,9.473
1133.504,9.28
1133.607,9.333
1133.710,9.413
1133.815,9.24
1133.923,9.427
1134.021,9.1
1134.140,9.24
1134.229,9.147
1134.325,9.44
1134.425,9.36
1134.551,8.973
1134.633,9.273
1134.732,9.5
1134.834,9.507
1134.874,9.647
1135.040,9.227
1135.143,9.173
1135.171,9.407
1135.347,9.167
1135.376,9.26
1135.472,9.327
1135.577,9.44
1135.680,9.48
1135.783,9.34
1135.883,9.187
1135.976,9.467
1136.088,9.367
1136.190,9.553
1136.269,9.48
1136.389,9.64
1136.472,9.413
1136.577,9.247
1136.673,9.32
1136.782,9.493
1136.887,9.347
1136.986,9.353
1137.089,9.167
1137.193,9.327
1137.293,9.387
1137.394,9.487
1137.497,9.487
1137.600,9.347
1137.702,9.273
1137.815,9.24
1137.906,9.333
1138.011,9.58
1138.112,9.52
1138.227,9.3
1138.315,9.36
1138.421,9.267
1138.523,9.467
1138.625,9.313
1138.727,9.207
1138.829,9.213
1138.931,9.46
1139.035,9.447
1139.061,9.32
1139.161,9.173
1139.340,9.287
1139.368,9.287
1139.471,9.5
1139.574,9.4
1139.677,9.173
1139.775,9.253
1139.876,9.447
1139.978,9.6
1140.065,9.487
1140.161,9.46
1190.284,9.14
1190.387,9.187
1190.487,9.707
1190.570,9.413
1190.692,9.387
1190.775,9.033
1190.878,9.293
1190.980,9.347
1191.081,9.16
1191.185,9.287
1191.286,9.38
1191.388,9.147
1191.491,9.307
1191.595,9.413
1191.695,9.447
1191.807,9.553
1191.902,9.273
1192.004,9.387
1192.106,9.407
1192.226,9.38
1192.315,9.387
1192.412,9.2
1192.540,9.347
1192.637,9.04
1192.721,9.627
1192.751,9.447
1192.925,9.693
1192.961,9.227
1193.060,9.313
1193.158,9.34
1193.266,9.533
1193.359,9.593
1193.540,9.493
1193.567,9.54
1193.665,9.287
1193.770,9.227
1193.850,9.46
1193.949,9.307
1194.063,9.1
1194.154,9.527
1194.257,9.487
1194.360,9.42
1194.476,9.62
1194.562,9.18
1194.666,9.42
1194.801,9.24
1194.871,9.287
1194.976,9.453
1195.075,9.513
1195.177,9.073
1195.280,9.447
1195.384,9.493
1195.486,9.42
1195.586,9.267
1195.715,9.213
1195.793,9.4
1195.900,9.287
1195.997,9.373
1196.125,9.3
1196.204,9.2
1196.311,9.4
1196.341,8.973
1196.509,9.413
1196.634,9.173
1196.652,9.18
1196.741,9.227
1196.841,9.633
1196.943,9.607
1197.043,9.413
1197.148,9.46
1197.253,9.473
1197.429,9.273
1197.457,9.54
1197.557,9.473
1197.660,9.587
1197.739,9.373
1197.840,9.253
1197.943,9.307
1198.149,9.387
1198.153,9.387
1198.253,9.373
1198.352,9.527
1198.472,9.153
1198.560,9.32
1198.660,9.547
1198.761,9.513
1198.885,9.62
1198.966,9.007
1199.074,9.493
1199.171,9.207
1199.278,9.413
1199.376,9.493
1199.478,9.14
1199.582,9.6
1199.688,9.413
1199.788,9.313
1199.889,9.747
1199.999,9.413
1200.094,9.22
1200.195,9.467
1250.310,9.527
1250.330,9.387
1250.502,9.233
1250.530,9.22
1250.630,9.407
1250.746,9.42
1250.833,9.247
1250.936,9.467
1251.045,9.26
1251.145,9.453
1251.242,9.18
1251.326,9.48
1251.449,9.16
1251.531,9.273
1251.629,9.34
1251.731,9.233
1251.838,9.167
1251.939,9.3
1252.040,9.267
1252.148,9.4
1252.244,9.487
1252.346,9.407
1252.447,9.253
1252.561,9.32
1252.657,9.147
1252.756,9.393
1252.858,9.44
1252.963,9.493
1253.062,9.667
1253.166,9.527
1253.268,9.3
1253.369,9.52
1253.472,9.233
1253.575,9.667
1253.678,9.567
1253.779,8.973
1253.883,9.287
1253.985,9.287
1254.025,9.507
1254.189,9.54
1254.292,9.473
1254.320,9.327
1254.420,9.267
1254.520,9.353
1254.622,9.373
1254.721,9.34
1254.834,9.14
1254.928,9.42
1255.033,9.513
1255.131,9.573
1255.238,9.493
1255.322,9.347
1255.418,9.453
1255.525,9.347
1255.622,9.333
1255.726,9.46
1255.829,9.613
1255.935,9.48
1256.033,9.26
1256.160,9.353
1256.237,9.533
1256.340,9.533
1256.443,9.407
1256.559,9.033
1256.646,9.467
1256.749,9.3
1256.852,9.507
1256.970,9.313
1257.058,9.113
1257.158,9.36
1257.261,9.453
1257.363,9.467
1257.467,9.453
1257.570,9.073
1257.670,9.32
1257.773,9.593
1257.877,9.393
1257.978,9.513
1258.116,9.433
1258.119,9.127
1258.208,9.3
1258.395,9.267
1258.413,9.12
1258.514,9.367
1258.614,9.087
1258.717,9.32
1258.807,9.533
1258.905,9.48
1259.026,9.42
1259.103,9.4
1259.207,9.253
1259.310,9.36
1259.412,9.187
1259.515,9.32
1259.616,9.147
1259.719,9.16
1259.820,9.24
1259.925,9.5
1260.027,9.413
1260.128,9.447
1310.233,9.28
1310.333,9.447
1310.433,9.28
1310.538,9.453
1310.644,9.687
1310.744,9.167
1310.846,9.34
1310.967,9.387
1311.051,9.253
1311.156,9.433
1311.255,9.573
1311.380,9.453
1311.460,9.473
1311.563,9.44
1311.702,9.467
1311.766,9.567
1311.795,9.393
1311.972,9.38
1311.999,9.44
1312.097,9.393
1312.199,9.573
1312.304,9.44
1312.405,9.18
1312.507,9.373
1312.610,9.22
1312.714,9.433
1312.805,9.513
1312.896,9.333
1312.996,9.413
1313.097,9.487
1313.217,9.233
1313.303,9.293
1313.406,9.487
1313.509,9.233
1313.633,9.387
1313.713,9.447
1313.834,9.473
1313.922,9.087
1314.021,9.36
1314.123,9.6
1314.193,9.507
1314.327,9.387
1314.429,9.46
1314.555,9.153
1314.644,9.367
1314.737,9.547
1314.839,9.253
1314.940,9.3
1315.054,9.213
1315.152,9.293
1315.247,9.433
1315.347,9.747
1315.450,9.487
1315.556,9.3
1315.655,9.34
1315.762,9.567
1315.786,9.293
1315.888,9.367
1315.988,9.427
1316.170,9.513
1316.198,9.427
1316.283,9.547
1316.383,9.493
1316.485,9.367
1316.585,9.5
1316.683,9.247
1316.784,9.56
1316.891,9.493
1316.989,9.36
1317.092,9.333
1317.215,9.66
1317.297,9.527
1317.399,9.4
1317.501,9.493
1317.629,9.4
1317.724,9.567
1317.809,9.287
1317.910,9.22
1318.043,9.167
1318.114,9.073
1318.217,9.373
1318.320,9.287
1318.428,9.4
1318.526,9.48
1318.628,9.473
1318.754,9.567
1318.832,9.427
1318.959,9.667
1319.052,9.533
1319.168,9.3
1319.242,9.3
1319.339,9.587
1319.464,9.853
1319.550,9.36
1319.677,9.347
1319.679,9.287
1319.787,9.647
1319.882,9.493
1319.984,9.313
1320.164,9.48
1320.172,9.387
1610.293,9.213
1610.391,9.44
1610.471,9.393
1610.578,9.527
1610.676,9.24
1610.779,9.253
1610.891,9.48
1610.984,9.533
1611.090,9.593
1611.189,9.173
1611.302,9.32
1611.401,9.413
1611.494,9.447
1611.596,9.493
1611.699,9.353
1611.803,9.2
1611.907,9.6
1612.007,9.353
1612.130,9.42
1612.264,9.487
1612.315,9.307
1612.416,9.367
1612.476,9.347
1612.622,9.34
1612.727,9.267
1612.787,9.407
1612.929,9.26
1612.994,9.153
1613.139,9.42
1613.167,9.393
1613.264,9.293
1613.462,9.527
1613.480,9.407
1613.573,9.527
1613.668,9.413
1613.773,9.44
1613.872,9.507
1613.977,9.427
1614.079,9.52
1614.197,9.467
1614.262,9.733
1614.381,9.573
1614.464,9.5
1614.567,9.367
1614.676,9.327
1614.771,9.387
1614.875,9.327
1614.977,9.2
1615.081,9.547
1615.206,9.42
1615.302,9.213
1615.413,8.767
1615.489,9.18
1615.595,9.28
1615.711,9.467
1615.796,9.46
1615.898,9.2
1616.001,9.587
1616.105,9.467
1616.205,9.373
1616.308,9.4
1616.412,9.133
1616.516,9.447
1616.614,9.653
1616.717,9.24
1616.818,9.473
1616.923,8.98
1617.025,9.313
1617.053,9.32
1617.162,9.62
1617.252,9.48
1617.356,9.5
1617.459,9.593
1617.641,9.58
1617.668,9.387
1617.765,9.3
1617.873,9.333
1617.950,9.307
1618.072,9.6
1618.150,9.22
1618.254,9.393
1618.355,9.54
1618.458,9.173
1618.561,9.367
1618.664,9.547
1618.766,9.42
1618.869,9.48
1618.976,9.247
1619.072,9.4
1619.175,9.627
1619.278,9.553
1619.387,9.36
1619.485,9.447
1619.589,9.487
1619.710,9.36
1619.792,9.26
1619.891,9.42
1619.994,9.4
1620.097,9.447
1620.197,9.22
1670.302,9.333
1670.405,9.513
1670.507,9.533
1670.607,9.48
1670.711,9.467
1670.814,9.567
1670.854,9.34
1670.940,9.5
1671.041,9.527
1671.144,9.493
1671.249,9.58
1671.350,9.493
1671.460,9.64
1671.547,9.507
1671.659,9.34
1671.759,9.273
1671.839,9.52
1671.960,9.547
1672.057,9.313
1672.144,9.287
1672.248,9.3
1672.352,9.347
1672.457,9.327
1672.554,9.44
1672.658,9.087
1672.760,9.787
1672.861,9.473
1672.963,9.38
1673.035,9.533
1673.139,9.46
1673.271,9.46
1673.386,9.647
1673.476,9.22
1673.578,9.26
1673.681,9.44
1673.798,9.387
1673.880,9.38
1673.987,9.513
1674.092,9.327
1674.193,9.733
1674.293,9.347
1674.396,9.173
1674.500,9.573
1674.532,9.487
1674.704,9.427
1674.732,9.413
1674.830,9.42
1674.938,9.22
1675.036,9.587
1675.139,9.367
1675.247,9.48
1675.344,9.293
1675.444,9.253
1675.548,9.567
1675.635,9.747
1675.731,9.653
1675.831,9.24
1675.958,9.287
1676.038,9.48
1676.138,9.587
1676.241,9.473
1676.344,9.367
1676.447,9.367
1676.548,9.58
1676.650,9.493
1676.754,9.62
1676.854,9.12
1676.959,9.433
1677.060,9.487
1677.165,9.047
1677.266,9.207
1677.367,9.107
1677.472,9.213
1677.573,9.367
1677.675,9.34
1677.793,9.46
1677.856,9.387
1678.007,9.253
1678.082,9.373
1678.208,9.2
1678.289,9.34
1678.391,9.36
1678.417,9.3
1678.530,9.687
1678.619,9.287
1678.722,9.607
1678.824,9.267
1678.928,9.393
1679.029,9.6
1679.209,9.353
1679.219,9.8
1679.337,9.313
1679.440,9.427
1679.518,9.467
1679.634,9.38
1679.724,9.68
1679.824,9.56
1679.926,9.213
1680.069,9.267
1680.132,9.22
1730.236,9.36
1730.336,9.3
1730.440,9.533
1730.541,9.073
1730.646,9.2
1730.746,9.42
1730.849,9.447
1730.951,9.413
1731.053,9.073
1731.156,9.633
1731.276,9.327
1731.362,9.607
1731.470,9.287
1731.564,9.493
1731.668,9.273
1731.771,9.46
1731.881,9.327
1731.949,9.567
1732.078,9.433
1732.180,9.453
1732.210,9.287
1732.307,9.493
1732.408,9.413
1732.512,9.5
1732.614,9.5
1732.716,9.3
1732.814,9.673
1732.994,9.353
1733.005,9.313
1733.127,9.387
1733.229,9.44
1733.308,9.227
