Time Lapsed,Acceleration_Z
656.945,1.0
656.976,1.001
657.064,1.0
657.170,1.0
657.271,1.0
657.371,1.001
657.472,1.0
657.577,1.001
657.670,1.001
657.780,1.0
657.863,1.001
657.991,1.0
658.084,1.0
658.175,1.002
658.273,1.0
658.381,1.001
658.481,1.001
658.579,1.002
658.680,1.0
658.812,1.001
658.893,1.0
658.989,1.001
659.089,1.0
659.192,1.0
659.293,1.0
659.396,1.001
659.532,1.0
659.606,1.001
659.702,1.001
659.804,1.0
659.918,1.002
660.016,1.0
660.118,1.001
660.214,1.001
660.317,1.001
660.420,1.001
660.521,1.0
660.609,1.001
660.653,1.0
660.832,1.0
660.861,1.002
661.035,1.0
661.062,1.0
661.162,1.001
661.266,1.0
661.373,1.0
661.472,1.0
661.574,1.001
661.648,1.001
661.780,1.001
661.854,1.001
661.957,1.001
662.081,1.0
662.172,1.001
662.268,1.001
662.373,1.0
662.493,1.0
662.574,1.001
662.670,1.001
662.775,1.001
662.883,1.001
662.979,1.001
663.082,1.001
663.185,1.0
663.293,1.001
663.356,1.0
663.459,1.0
663.567,1.0
663.695,1.0
663.800,1.0
663.918,1.0
664.006,1.001
664.109,1.001
664.212,1.0
664.329,1.001
664.418,1.0
664.445,1.0
664.543,1.0
664.653,1.0
664.753,1.0
664.854,1.0
664.957,1.002
665.059,1.001
665.157,1.0
665.265,1.001
665.344,1.0
665.442,1.002
665.548,1.001
665.646,1.001
665.755,1.001
665.849,1.001
665.952,1.001
666.055,1.0
666.168,1.001
666.287,1.0
666.361,1.0
666.462,1.0
666.570,1.001
666.665,1.001
716.768,1.0
716.856,1.0
716.976,1.001
717.077,1.0
717.180,1.001
717.282,1.001
717.385,1.001
717.503,1.001
717.592,1.0
717.653,1.0
717.760,1.001
717.886,1.001
718.005,1.0
718.033,1.001
718.204,1.0
718.231,1.0
718.410,1.0
718.439,1.001
718.540,1.0
718.636,1.0
718.744,1.001
718.844,1.0
718.944,1.001
719.033,1.0
719.131,1.0
719.233,1.0
719.331,1.0
719.437,1.001
719.565,1.001
719.638,1.001
719.744,1.001
719.842,1.0
719.949,1.0
720.047,1.001
720.165,1.001
