Time Lapsed,Magnetic field Z
656.945,17.193
656.976,17.327
657.064,17.14
657.170,17.28
657.271,16.92
657.371,16.887
657.472,17.007
657.577,17.247
657.670,17.36
657.780,17.093
657.863,17.027
657.991,17.147
658.084,17.007
658.175,17.22
658.273,16.847
658.381,16.98
658.481,17.253
658.579,17.207
658.680,17.233
658.812,17.34
658.893,16.953
658.989,17.12
659.089,17.167
659.192,17.18
659.293,17.307
659.396,17.08
659.532,17.14
659.606,17.12
659.702,17.36
659.804,17.227
659.918,16.967
660.016,17.193
660.118,17.213
660.214,17.173
660.317,17.153
660.420,17.12
660.521,16.98
660.609,16.96
660.653,17.047
660.832,17.127
660.861,17.467
661.035,17.2
661.062,17.06
661.162,17.247
661.266,17.133
661.373,17.0
661.472,17.027
661.574,17.273
661.648,17.3
661.780,17.16
661.854,16.98
661.957,16.907
662.081,16.767
662.172,17.267
662.268,17.2
662.373,16.967
662.493,16.9
662.574,17.1
662.670,16.92
662.775,17.32
662.883,17.213
662.979,16.607
663.082,17.053
663.185,17.253
663.293,16.92
663.356,17.053
663.459,16.813
663.567,16.927
663.695,17.227
663.800,17.147
663.918,17.113
664.006,17.22
664.109,16.88
664.212,17.273
664.329,17.333
664.418,17.127
664.445,16.98
664.543,17.167
664.653,17.14
664.753,17.273
664.854,17.073
664.957,17.227
665.059,16.953
665.157,17.12
665.265,16.993
665.344,17.4
665.442,17.24
665.548,17.08
665.646,17.293
665.755,17.167
665.849,17.153
665.952,17.147
666.055,17.267
666.168,16.847
666.287,17.14
666.361,17.213
666.462,17.127
666.570,17.253
666.665,17.113
716.768,17.233
716.856,17.327
716.976,17.073
717.077,17.307
717.180,16.813
717.282,17.46
717.385,17.147
717.503,17.127
717.592,16.96
717.653,16.747
717.760,17.133
717.886,16.86
718.005,17.067
718.033,17.147
718.204,16.947
718.231,16.787
718.410,17.093
718.439,17.1
718.540,17.313
718.636,17.133
718.744,16.893
718.844,17.113
718.944,17.287
719.033,17.187
719.131,17.08
719.233,16.947
719.331,16.973
719.437,17.313
719.565,17.2
719.638,17.287
719.744,16.867
719.842,17.0
719.949,17.007
720.047,16.907
720.165,17.073
720.253,16.847
720.353,17.047
720.454,17.333
720.577,17.227
720.665,16.973
720.763,16.92
720.866,17.267
720.972,17.12
721.072,17.107
721.172,17.38
721.278,16.927
721.381,17.087
721.481,16.92
721.586,17.207
721.689,17.06
721.795,17.0
721.822,17.273
721.922,17.4
722.028,17.093
722.128,17.067
722.226,17.393
722.327,17.167
722.437,17.267
722.530,17.293
722.638,17.32
722.739,17.32
722.839,17.313
722.937,17.033
723.020,17.287
723.123,17.507
723.224,17.307
723.324,17.067
723.423,17.127
723.516,17.453
723.636,17.273
723.736,17.367
723.841,17.1
723.937,17.087
724.045,17.207
724.143,17.187
724.251,16.927
724.351,16.867
724.454,16.933
724.574,17.26
724.653,17.247
724.785,17.18
724.858,17.333
724.942,17.073
725.062,17.127
725.165,17.26
725.268,17.42
725.312,17.26
725.474,16.927
725.577,17.493
725.680,17.193
725.717,16.92
725.815,17.34
725.913,17.473
726.010,17.273
726.114,17.233
726.212,17.273
726.320,17.1
726.413,17.153
726.523,17.32
726.628,17.107
776.726,17.293
776.824,17.133
776.935,17.393
777.008,17.093
777.114,17.227
777.228,17.38
777.315,17.273
777.418,17.007
777.523,17.26
777.628,17.047
777.731,17.087
777.834,17.267
777.932,17.18
778.030,17.013
778.136,17.267
778.251,17.04
778.344,17.147
778.445,17.16
778.552,17.207
778.662,17.107
778.761,16.993
778.859,17.247
778.986,17.327
779.060,17.293
779.165,16.813
779.270,17.113
779.371,17.18
779.479,17.167
779.510,17.14
779.606,17.153
779.775,17.047
779.805,17.067
779.902,17.207
780.003,17.173
780.113,17.093
780.214,17.227
780.312,17.053
780.413,17.3
780.525,17.353
780.599,17.167
780.697,17.02
780.798,16.887
780.915,17.2
781.013,17.307
781.111,17.087
781.214,17.173
781.310,17.02
781.413,16.807
781.515,17.207
781.626,17.167
781.746,17.08
781.804,17.22
781.932,16.66
782.015,17.08
782.099,17.373
782.221,17.207
782.337,17.507
782.410,17.007
782.530,17.1
782.660,17.28
782.729,17.08
782.849,17.167
782.947,17.193
783.072,17.34
783.153,17.247
783.255,17.227
783.358,17.127
783.396,17.06
783.491,17.073
783.591,17.26
783.687,17.16
783.793,17.2
783.898,17.153
783.994,17.293
784.099,17.253
784.202,17.18
784.302,17.253
784.385,17.207
784.498,17.133
784.591,17.04
784.690,16.973
784.793,17.34
784.910,17.06
785.006,17.04
785.104,16.987
785.204,17.127
785.288,17.073
785.408,17.18
785.506,16.947
785.601,16.887
785.685,17.08
785.815,17.38
785.912,17.107
786.028,17.24
786.128,16.913
786.233,17.24
786.337,16.867
786.415,17.093
786.540,17.053
786.636,17.133
1076.721,16.84
1076.841,17.087
1076.940,17.24
1077.035,17.4
1077.140,17.32
1077.246,17.187
1077.280,17.373
1077.378,17.193
1077.476,17.28
1077.579,17.033
1077.682,17.367
1077.863,17.02
1077.891,17.147
1077.989,17.207
1078.094,17.0
1078.177,17.413
1078.295,17.187
1078.376,17.007
1078.479,17.233
1078.584,17.32
1078.687,17.16
1078.783,16.993
1078.881,17.247
1078.998,16.867
1079.094,17.12
1079.194,17.2
1079.275,17.013
1079.400,17.307
1079.501,17.053
1079.643,16.987
1079.709,17.033
1079.807,16.733
1079.869,17.04
1079.978,17.087
1080.084,17.567
1080.195,17.127
1080.298,17.053
1080.423,17.153
1080.511,16.88
1080.621,17.08
1080.668,17.167
1080.770,16.94
1080.866,17.1
1081.035,17.093
1081.158,17.147
1081.253,17.4
1081.280,17.193
1081.378,17.4
1081.481,17.167
1081.582,17.273
1081.685,17.367
1081.782,17.247
1081.881,17.04
1081.981,17.087
1082.067,17.373
1082.260,17.18
1082.266,17.113
1082.369,16.973
1082.479,17.247
1082.608,17.247
1082.677,17.193
1082.804,17.353
1082.866,16.947
1082.994,17.347
1083.077,17.253
1083.190,17.187
1083.319,17.133
1083.369,16.973
1083.496,17.127
1083.596,17.087
1083.685,17.173
1083.795,16.973
1083.898,16.94
1084.006,17.2
1084.104,16.92
1084.204,17.08
1084.309,17.187
1084.447,16.787
1084.523,17.067
1084.619,17.173
1084.733,16.927
1084.760,17.193
1084.859,17.0
1084.957,16.92
1085.057,17.0
1085.155,17.213
1085.265,16.9
1085.364,17.187
1085.464,17.1
1085.567,17.36
1085.667,17.247
1085.771,17.013
1085.858,17.227
1085.962,17.353
1086.062,17.073
1086.160,17.267
1086.268,17.24
1086.368,17.32
1086.467,17.113
1086.570,17.04
1086.670,17.027
1136.771,17.047
1136.873,17.253
1136.993,17.38
1137.103,17.0
1137.180,17.267
1137.263,17.367
1137.405,17.347
1137.489,17.127
1137.550,16.94
1137.695,17.233
1137.798,17.18
1137.900,17.28
1137.967,17.42
1138.069,16.967
1138.212,17.26
1138.310,17.26
1138.378,17.02
1138.484,17.207
1138.543,16.753
1138.646,16.9
1138.744,17.007
1138.854,17.133
1138.940,17.033
1139.045,17.1
1139.143,17.16
1139.241,17.28
1139.349,17.213
1139.444,17.213
1139.567,17.373
1139.653,17.093
1139.750,17.473
1139.854,17.213
1139.979,17.307
1140.055,17.253
1140.184,16.82
1140.261,17.18
1140.344,17.1
1140.466,17.433
1140.569,17.493
1140.670,16.94
1140.766,17.067
1140.868,17.207
1140.969,17.067
1141.079,17.233
1141.179,17.053
1141.277,17.167
1141.378,17.22
1141.481,17.307
1141.547,17.16
1141.695,17.113
1141.792,17.033
1141.854,16.993
1141.957,17.007
1142.062,17.167
1142.138,16.987
1142.239,16.993
1142.341,17.287
1142.440,17.2
1142.530,17.367
1142.631,17.107
1142.751,16.893
1142.849,17.347
1142.945,17.24
1143.042,17.34
1143.143,17.06
1143.241,16.993
1143.334,17.053
1143.439,17.293
1143.532,17.42
1143.631,17.233
1143.736,17.3
1143.844,17.253
1143.942,17.127
1144.043,17.247
1144.148,17.233
1144.251,17.44
1144.351,17.047
1144.459,17.22
1144.555,17.2
1144.658,17.26
1144.760,17.32
1144.861,16.94
1144.972,17.2
1145.079,17.287
1145.168,17.127
1145.273,17.1
1145.381,17.227
1145.491,16.653
1145.587,17.107
1145.685,17.16
1145.783,17.327
1145.893,17.02
1145.922,16.973
1146.097,17.067
1146.126,16.907
1146.229,17.18
1146.329,17.367
1146.430,17.347
1146.609,17.207
1146.640,17.313
1196.738,17.013
1196.841,17.153
1196.940,17.127
1197.018,17.067
1197.123,17.36
1197.219,17.26
1197.329,17.24
1197.429,17.2
1197.530,17.08
1197.652,17.173
1197.741,17.427
1197.842,17.307
1197.940,17.107
