Time Lapsed,Absolute_Acceleration
659.606,1.424
659.702,1.425
659.804,1.425
659.918,1.424
660.016,1.424
660.118,1.424
660.214,1.425
660.317,1.425
660.420,1.424
660.521,1.424
660.609,1.425
660.653,1.425
660.832,1.425
660.861,1.425
661.035,1.424
661.062,1.426
661.162,1.425
661.266,1.425
661.373,1.424
661.472,1.424
661.574,1.424
661.648,1.424
661.780,1.424
661.854,1.424
661.957,1.424
662.081,1.424
662.172,1.424
662.268,1.424
662.373,1.425
662.493,1.424
662.574,1.424
662.670,1.425
662.775,1.425
662.883,1.424
662.979,1.425
663.082,1.424
663.185,1.424
663.293,1.425
663.356,1.424
663.459,1.424
663.567,1.424
663.695,1.424
663.800,1.424
663.918,1.424
664.006,1.424
664.109,1.425
664.212,1.425
664.329,1.424
664.418,1.424
664.445,1.424
664.543,1.424
664.653,1.424
664.753,1.424
664.854,1.425
664.957,1.425
665.059,1.424
665.157,1.424
665.265,1.424
665.344,1.425
665.442,1.424
665.548,1.424
665.646,1.424
665.755,1.424
665.849,1.424
665.952,1.424
666.055,1.424
666.168,1.424
666.287,1.425
666.361,1.424
666.462,1.424
666.570,1.424
666.665,1.425
716.768,1.424
716.856,1.424
716.976,1.424
717.077,1.424
717.180,1.425
717.282,1.424
717.385,1.424
717.503,1.425
717.592,1.425
717.653,1.424
717.760,1.425
717.886,1.425
718.005,1.424
718.033,1.424
718.204,1.425
718.231,1.424
718.410,1.425
718.439,1.424
718.540,1.424
718.636,1.424
718.744,1.424
718.844,1.424
718.944,1.424
719.033,1.424
719.131,1.425
719.233,1.425
719.331,1.424
719.437,1.424
719.565,1.424
719.638,1.424
719.744,1.424
719.842,1.425
719.949,1.424
720.047,1.424
720.165,1.424
720.253,1.425
720.353,1.424
720.454,1.424
720.577,1.424
720.665,1.424
720.763,1.424
720.866,1.424
720.972,1.424
721.072,1.424
721.172,1.424
721.278,1.424
721.381,1.425
721.481,1.424
721.586,1.424
721.689,1.424
721.795,1.424
721.822,1.424
721.922,1.425
722.028,1.424
722.128,1.425
722.226,1.424
722.327,1.425
722.437,1.424
722.530,1.424
722.638,1.424
722.739,1.424
722.839,1.425
722.937,1.424
723.020,1.424
723.123,1.425
723.224,1.425
723.324,1.424
723.423,1.424
723.516,1.424
723.636,1.424
723.736,1.424
723.841,1.425
723.937,1.424
724.045,1.425
724.143,1.424
724.251,1.425
724.351,1.425
724.454,1.424
724.574,1.425
724.653,1.425
724.785,1.425
724.858,1.425
724.942,1.424
725.062,1.424
725.165,1.424
725.268,1.424
725.312,1.424
725.474,1.424
725.577,1.424
725.680,1.425
725.717,1.425
725.815,1.424
725.913,1.425
726.010,1.424
726.114,1.424
726.212,1.424
726.320,1.424
726.413,1.424
726.523,1.424
726.628,1.424
776.726,1.425
776.824,1.424
776.935,1.424
777.008,1.424
777.114,1.425
777.228,1.424
777.315,1.425
777.418,1.424
777.523,1.425
777.628,1.424
777.731,1.424
777.834,1.424
777.932,1.424
778.030,1.424
778.136,1.425
778.251,1.424
778.344,1.424
778.445,1.425
778.552,1.424
778.662,1.424
778.761,1.424
778.859,1.424
778.986,1.425
779.060,1.424
779.165,1.425
779.270,1.425
779.371,1.424
779.479,1.425
779.510,1.424
779.606,1.424
779.775,1.424
779.805,1.424
779.902,1.425
780.003,1.424
780.113,1.424
780.214,1.424
780.312,1.425
780.413,1.424
780.525,1.425
780.599,1.424
780.697,1.425
780.798,1.424
780.915,1.424
781.013,1.425
781.111,1.425
781.214,1.424
781.310,1.424
781.413,1.425
781.515,1.424
781.626,1.425
781.746,1.425
781.804,1.424
781.932,1.425
782.015,1.424
782.099,1.424
782.221,1.424
782.337,1.425
782.410,1.424
782.530,1.424
782.660,1.425
782.729,1.424
782.849,1.424
782.947,1.425
783.072,1.424
783.153,1.424
783.255,1.424
783.358,1.424
783.396,1.424
783.491,1.425
783.591,1.424
783.687,1.425
783.793,1.425
783.898,1.424
783.994,1.424
784.099,1.425
784.202,1.424
784.302,1.425
784.385,1.424
784.498,1.425
784.591,1.424
784.690,1.425
784.793,1.424
784.910,1.424
785.006,1.425
785.104,1.424
785.204,1.424
785.288,1.424
785.408,1.424
785.506,1.425
785.601,1.425
785.685,1.424
785.815,1.424
785.912,1.424
786.028,1.424
786.128,1.424
786.233,1.425
786.337,1.424
786.415,1.424
786.540,1.424
786.636,1.424
1076.721,1.424
1076.841,1.424
1076.940,1.425
1077.035,1.424
1077.140,1.425
1077.246,1.424
1077.280,1.424
1077.378,1.424
1077.476,1.424
1077.579,1.424
1077.682,1.424
1077.863,1.424
1077.891,1.424
1077.989,1.425
1078.094,1.424
1078.177,1.424
1078.295,1.425
1078.376,1.425
1078.479,1.424
1078.584,1.425
1078.687,1.425
1078.783,1.425
1078.881,1.424
1078.998,1.424
1079.094,1.424
1079.194,1.424
1079.275,1.425
1079.400,1.424
1079.501,1.424
1079.643,1.425
1079.709,1.424
1079.807,1.424
1079.869,1.424
1079.978,1.424
1080.084,1.425
1080.195,1.425
1080.298,1.424
1080.423,1.425
1080.511,1.424
1080.621,1.424
1080.668,1.425
1080.770,1.425
1080.866,1.424
1081.035,1.425
1081.158,1.424
1081.253,1.424
1081.280,1.425
1081.378,1.424
1081.481,1.425
