Time Lapsed,Magnetic field X
544.212,-36.027
544.347,-36.047
544.454,-36.027
544.579,-36.133
544.653,-36.08
544.761,-35.973
544.863,-35.913
544.967,-35.933
545.062,-36.08
545.175,-36.053
545.268,-36.013
545.297,-36.1
545.396,-36.053
545.498,-36.16
545.609,-36.107
545.707,-35.987
545.802,-36.073
545.910,-36.087
546.011,-36.087
546.106,-36.127
546.212,-36.12
546.310,-36.073
546.415,-36.047
546.523,-36.073
546.594,-36.053
596.717,-36.033
596.812,-35.967
596.908,-36.127
597.013,-35.94
597.106,-36.047
597.209,-36.0
597.315,-36.067
597.425,-36.04
597.523,-36.127
597.621,-36.12
597.748,-36.033
597.827,-36.093
597.932,-36.0
598.054,-36.133
598.130,-36.207
598.233,-36.12
598.337,-36.22
598.440,-35.953
598.506,-36.153
598.643,-36.047
598.753,-36.127
598.853,-36.08
598.949,-35.933
599.084,-36.053
599.087,-36.14
599.263,-36.02
599.292,-36.087
599.388,-36.087
599.484,-35.993
599.584,-36.033
599.690,-36.113
599.795,-36.107
599.891,-35.933
600.000,-35.913
600.099,-36.18
600.195,-36.013
600.320,-36.12
600.391,-36.133
600.489,-36.067
600.592,-36.093
600.721,-36.093
600.793,-36.093
600.898,-36.08
601.003,-35.9
601.103,-36.127
601.211,-36.06
601.315,-36.093
601.423,-36.1
601.513,-36.167
601.646,-35.96
601.726,-35.927
601.834,-36.047
601.929,-36.133
602.033,-36.027
602.128,-36.093
602.231,-36.0
602.334,-36.013
602.435,-36.1
602.533,-36.073
602.636,-36.067
602.741,-36.073
602.842,-36.027
602.945,-36.1
603.047,-36.087
603.076,-36.08
603.260,-36.067
603.278,-36.073
603.378,-36.027
603.479,-36.193
603.582,-36.013
603.695,-36.007
603.793,-36.127
603.895,-36.28
603.996,-36.12
604.077,-36.16
604.173,-36.073
604.277,-36.073
604.380,-36.12
604.472,-36.073
604.574,-36.207
604.675,-36.087
604.775,-36.18
604.893,-36.08
604.991,-36.073
605.099,-36.053
605.199,-36.12
605.305,-36.027
605.408,-36.107
605.510,-36.133
605.609,-36.213
605.709,-35.973
605.832,-36.107
605.925,-36.167
606.021,-36.167
606.119,-36.173
606.219,-36.053
606.331,-36.007
606.432,-36.04
606.533,-36.12
606.569,-36.173
656.734,-36.093
656.766,-36.053
656.945,-36.113
656.976,-36.24
657.064,-36.107
657.170,-36.16
657.271,-36.127
657.371,-36.047
657.472,-36.127
657.577,-36.113
657.670,-36.187
657.780,-36.087
657.863,-36.173
657.991,-36.1
658.084,-36.12
658.175,-36.213
658.273,-36.14
658.381,-36.18
658.481,-36.187
658.579,-36.073
658.680,-36.013
658.812,-36.153
658.893,-35.96
658.989,-36.087
659.089,-36.1
659.192,-35.94
659.293,-36.02
659.396,-35.853
659.532,-35.94
659.606,-36.04
659.702,-36.107
659.804,-36.14
659.918,-35.98
660.016,-35.98
660.118,-36.087
660.214,-36.12
660.317,-36.073
660.420,-36.127
660.521,-36.047
660.609,-36.02
660.653,-35.933
660.832,-36.027
660.861,-36.113
661.035,-36.133
661.062,-36.14
661.162,-36.193
661.266,-36.0
661.373,-36.167
661.472,-36.0
661.574,-36.08
661.648,-36.053
661.780,-36.073
661.854,-36.147
661.957,-36.067
662.081,-36.08
662.172,-36.24
662.268,-36.053
662.373,-36.027
662.493,-36.08
662.574,-36.173
662.670,-36.233
662.775,-36.2
662.883,-36.093
662.979,-36.0
663.082,-36.12
663.185,-36.107
663.293,-36.187
663.356,-36.147
663.459,-36.1
663.567,-36.033
663.695,-36.087
663.800,-36.167
663.918,-36.04
664.006,-35.987
664.109,-36.1
664.212,-36.04
664.329,-36.027
664.418,-36.02
664.445,-36.04
664.543,-36.013
664.653,-36.093
664.753,-36.127
