Time Lapsed,Angle_Z
1079.400,-70.291
1079.501,-70.291
1079.643,-70.291
1079.709,-70.291
1079.807,-70.291
1079.869,-70.291
1079.978,-70.291
1080.084,-70.291
1080.195,-70.291
1080.298,-70.291
1080.423,-70.291
1080.511,-70.291
1080.621,-70.291
1080.668,-70.291
1080.770,-70.291
1080.866,-70.291
1081.035,-70.291
1081.158,-70.291
1081.253,-70.291
1081.280,-70.291
1081.378,-70.291
1081.481,-70.291
1081.582,-70.291
1081.685,-70.291
1081.782,-70.291
1081.881,-70.291
1081.981,-70.291
1082.067,-70.291
1082.260,-70.291
1082.266,-70.291
1082.369,-70.291
1082.479,-70.291
1082.608,-70.291
1082.677,-70.291
1082.804,-70.291
1082.866,-70.291
1082.994,-70.291
1083.077,-70.291
1083.190,-70.291
1083.319,-70.291
1083.369,-70.291
1083.496,-70.291
1083.596,-70.291
1083.685,-70.291
1083.795,-70.291
1083.898,-70.291
1084.006,-70.291
1084.104,-70.291
1084.204,-70.291
1084.309,-70.291
1084.447,-70.291
1084.523,-70.291
1084.619,-70.291
1084.733,-70.291
1084.760,-70.291
1084.859,-70.291
1084.957,-70.291
1085.057,-70.291
1085.155,-70.291
1085.265,-70.291
1085.364,-70.291
1085.464,-70.291
1085.567,-70.291
1085.667,-70.291
1085.771,-70.291
1085.858,-70.291
1085.962,-70.291
1086.062,-70.291
1086.160,-70.291
1086.268,-70.291
1086.368,-70.291
1086.467,-70.291
1086.570,-70.291
1086.670,-70.291
1136.771,-70.291
1136.873,-70.291
1136.993,-70.291
1137.103,-70.291
1137.180,-70.291
1137.263,-70.291
1137.405,-70.291
1137.489,-70.291
1137.550,-70.291
1137.695,-70.291
1137.798,-70.291
1137.900,-70.291
1137.967,-70.291
1138.069,-70.291
1138.212,-70.291
1138.310,-70.291
1138.378,-70.291
1138.484,-70.291
1138.543,-70.291
1138.646,-70.291
1138.744,-70.291
1138.854,-70.291
1138.940,-70.291
1139.045,-70.291
1139.143,-70.291
1139.241,-70.291
1139.349,-70.291
1139.444,-70.291
1139.567,-70.291
1139.653,-70.291
1139.750,-70.291
1139.854,-70.291
1139.979,-70.291
1140.055,-70.291
1140.184,-70.291
1140.261,-70.291
1140.344,-70.291
1140.466,-70.291
1140.569,-70.291
1140.670,-70.291
1140.766,-70.291
1140.868,-70.291
1140.969,-70.291
1141.079,-70.291
1141.179,-70.291
1141.277,-70.291
1141.378,-70.291
1141.481,-70.291
1141.547,-70.291
1141.695,-70.291
1141.792,-70.291
1141.854,-70.291
1141.957,-70.291
1142.062,-70.291
1142.138,-70.291
1142.239,-70.291
1142.341,-70.291
1142.440,-70.291
1142.530,-70.291
1142.631,-70.291
1142.751,-70.291
1142.849,-70.291
1142.945,-70.291
1143.042,-70.291
1143.143,-70.291
1143.241,-70.291
1143.334,-70.291
1143.439,-70.291
1143.532,-70.291
1143.631,-70.291
1143.736,-70.291
1143.844,-70.291
1143.942,-70.291
1144.043,-70.291
1144.148,-70.291
1144.251,-70.291
1144.351,-70.291
1144.459,-70.291
1144.555,-70.291
1144.658,-70.291
1144.760,-70.291
1144.861,-70.291
1144.972,-70.291
1145.079,-70.291
1145.168,-70.291
1145.273,-70.291
1145.381,-70.291
1145.491,-70.291
1145.587,-70.291
1145.685,-70.291
1145.783,-70.291
1145.893,-70.291
1145.922,-70.291
1146.097,-70.291
1146.126,-70.291
1146.229,-70.291
1146.329,-70.291
1146.430,-70.291
1146.609,-70.291
1146.640,-70.291
1196.738,-70.291
1196.841,-70.291
1196.940,-70.291
1197.018,-70.291
1197.123,-70.291
1197.219,-70.291
1197.329,-70.291
1197.429,-70.291
1197.530,-70.291
1197.652,-70.291
1197.741,-70.291
1197.842,-70.291
1197.940,-70.291
1198.038,-70.291
1198.141,-70.291
1198.239,-70.291
1198.342,-70.291
1198.454,-70.291
1198.550,-70.291
1198.653,-70.291
1198.758,-70.291
1198.864,-70.291
1198.959,-70.291
1199.059,-70.291
1199.165,-70.291
1199.263,-70.291
1199.366,-70.291
1199.491,-70.291
1199.577,-70.291
1199.679,-70.291
1199.805,-70.291
1199.810,-70.291
1199.923,-70.291
1200.087,-70.291
1200.116,-70.291
1200.224,-70.291
1200.324,-70.291
1200.420,-70.291
1200.525,-70.291
1200.619,-70.291
1200.722,-70.291
1200.829,-70.291
1200.927,-70.291
1201.008,-70.291
1201.108,-70.291
1201.212,-70.291
1201.326,-70.291
1201.415,-70.291
1201.516,-70.291
1201.619,-70.291
1201.739,-70.291
1201.837,-70.291
1201.932,-70.291
1202.033,-70.291
1202.136,-70.291
1202.209,-70.291
1202.337,-70.291
1202.439,-70.291
1202.548,-70.291
1202.650,-70.291
1202.753,-70.291
1202.839,-70.291
1202.964,-70.291
1203.016,-70.291
1203.165,-70.291
1203.263,-70.291
1203.368,-70.291
1203.471,-70.291
1203.572,-70.291
1203.603,-70.291
1203.702,-70.291
1203.800,-70.291
1203.900,-70.291
1204.006,-70.291
1204.111,-70.291
1204.214,-70.291
1204.312,-70.291
1204.410,-70.291
1204.510,-70.291
1204.635,-70.291
1204.697,-70.291
1204.819,-70.291
1204.896,-70.291
1205.003,-70.291
1205.101,-70.291
1205.204,-70.291
1205.310,-70.291
1205.413,-70.291
1205.510,-70.291
1205.614,-70.291
1205.736,-70.291
1205.822,-70.291
1205.923,-70.291
1206.043,-70.291
1206.148,-70.291
1206.260,-70.291
1206.337,-70.291
1206.435,-70.291
1206.501,-70.291
1206.638,-70.291
1256.739,-70.291
1256.844,-70.291
1256.949,-70.291
1257.023,-70.291
1257.150,-70.291
1257.253,-70.291
1257.354,-70.291
1257.489,-70.291
1257.491,-70.291
1257.599,-70.291
1257.695,-70.291
1257.795,-70.291
1257.891,-70.291
1258.008,-70.291
1258.104,-70.291
1258.202,-70.291
1258.310,-70.291
1258.403,-70.291
1258.498,-70.291
1258.609,-70.291
1258.687,-70.291
1258.793,-70.291
1258.891,-70.291
1258.993,-70.291
1259.097,-70.291
1259.226,-70.291
1259.300,-70.291
1259.412,-70.291
1259.508,-70.291
1259.606,-70.291
1259.717,-70.291
1259.824,-70.291
1259.945,-70.291
1260.025,-70.291
1260.119,-70.291
1260.256,-70.291
1260.332,-70.291
1260.430,-70.291
1260.559,-70.291
1260.633,-70.291
1260.701,-70.291
1260.839,-70.291
1260.940,-70.291
1261.048,-70.291
1261.148,-70.291
1261.253,-70.291
1261.337,-70.291
1261.440,-70.291
1261.491,-70.291
1261.587,-70.291
1261.685,-70.291
1261.788,-70.291
1261.886,-70.291
1261.984,-70.291
1262.097,-70.291
1262.175,-70.291
1262.293,-70.291
1262.395,-70.291
1262.472,-70.291
1262.579,-70.291
1262.679,-70.291
1262.788,-70.291
1262.893,-70.291
1262.993,-70.291
1263.087,-70.291
1263.195,-70.291
1263.295,-70.291
1263.400,-70.291
1263.498,-70.291
1263.601,-70.291
1263.702,-70.291
1263.822,-70.291
1263.912,-70.291
1264.040,-70.291
1264.118,-70.291
1264.233,-70.291
1264.327,-70.291
1264.425,-70.291
1264.527,-70.291
1264.626,-70.291
1264.729,-70.291
1264.832,-70.291
1264.888,-70.291
1265.045,-70.291
1265.072,-70.291
1265.168,-70.291
1265.341,-70.291
1265.371,-70.291
1265.474,-70.291
1265.572,-70.291
1265.682,-70.291
1265.780,-70.291
1265.883,-70.291
1265.981,-70.291
1266.070,-70.291
1266.168,-70.291
1266.265,-70.291
1266.369,-70.291
1266.467,-70.291
1266.570,-70.291
1266.673,-70.291
1316.773,-70.291
1316.878,-70.291
1316.983,-70.291
1317.091,-70.291
1317.190,-70.291
1317.288,-70.291
1317.396,-70.291
1317.523,-70.291
1317.601,-70.291
1317.697,-70.291
1317.802,-70.291
1317.908,-70.291
1318.011,-70.291
1318.108,-70.291
1318.233,-70.291
1318.320,-70.291
1318.418,-70.291
1318.515,-70.291
1318.618,-70.291
1318.719,-70.291
1318.856,-70.291
1318.858,-70.291
1318.967,-70.291
1319.059,-70.291
1319.155,-70.291
1319.256,-70.291
1319.364,-70.291
1319.467,-70.291
1319.570,-70.291
1319.653,-70.291
1319.771,-70.291
1319.871,-70.291
1319.962,-70.291
1320.067,-70.291
1320.173,-70.291
1320.256,-70.291
1320.359,-70.291
1320.481,-70.291
1320.572,-70.291
1320.670,-70.291
1320.771,-70.291
1320.876,-70.291
1320.972,-70.291
1321.079,-70.291
1321.184,-70.291
1321.285,-70.291
1321.385,-70.291
1321.486,-70.291
1321.589,-70.291
1321.694,-70.291
1321.795,-70.291
1321.930,-70.291
1322.003,-70.291
1322.101,-70.291
1322.202,-70.291
1322.317,-70.291
1322.347,-70.291
1322.515,-70.291
1322.543,-70.291
1322.714,-70.291
1322.748,-70.291
1322.846,-70.291
1322.945,-70.291
1323.045,-70.291
1323.146,-70.291
1323.244,-70.291
1323.353,-70.291
1323.442,-70.291
1323.562,-70.291
1323.658,-70.291
1323.746,-70.291
1323.854,-70.291
1323.945,-70.291
1324.050,-70.291
1324.155,-70.291
1324.253,-70.291
1324.361,-70.291
1324.479,-70.291
1324.570,-70.291
1324.641,-70.291
1324.768,-70.291
1324.846,-70.291
1324.974,-70.291
1325.074,-70.291
1325.173,-70.291
1325.285,-70.291
1325.383,-70.291
1325.486,-70.291
1325.587,-70.291
1325.695,-70.291
1325.793,-70.291
1325.888,-70.291
1325.993,-70.291
1326.092,-70.291
1326.199,-70.291
1326.317,-70.291
1326.334,-70.291
1326.503,-70.291
1326.533,-70.291
1326.635,-70.291
1376.822,-70.291
1376.849,-70.291
1376.947,-70.291
1377.052,-70.291
1377.148,-70.291
1377.250,-70.291
1377.347,-70.291
1377.447,-70.291
1377.530,-70.291
1377.653,-70.291
1377.761,-70.291
1377.839,-70.291
1377.940,-70.291
1378.059,-70.291
