Time,Magnetic field Z
 22:41:34.762,17.273
 22:41:34.863,17.300
 22:41:34.938,17.160
 22:41:35.070,16.980
 22:41:35.143,16.907
 22:41:35.246,16.767
 22:41:35.370,17.267
 22:41:35.461,17.200
 22:41:35.557,16.967
 22:41:35.663,16.900
 22:41:35.782,17.100
 22:41:35.863,16.920
 22:41:35.960,17.320
 22:41:36.064,17.213
 22:41:36.173,16.607
 22:41:36.268,17.053
 22:41:36.372,17.253
 22:41:36.474,16.920
 22:41:36.582,17.053
 22:41:36.645,16.813
 22:41:36.748,16.927
 22:41:36.856,17.227
 22:41:36.985,17.147
 22:41:37.089,17.113
 22:41:37.207,17.220
 22:41:37.296,16.880
 22:41:37.398,17.273
 22:41:37.502,17.333
 22:41:37.619,17.127
 22:41:37.707,16.980
 22:41:37.735,17.167
 22:41:37.832,17.140
 22:41:37.942,17.273
 22:41:38.042,17.073
 22:41:38.144,17.227
 22:41:38.246,16.953
 22:41:38.348,17.120
 22:41:38.446,16.993
 22:41:38.554,17.400
 22:41:38.633,17.240
 22:41:38.731,17.080
 22:41:38.838,17.293
 22:41:38.936,17.167
 22:41:39.044,17.153
 22:41:39.138,17.147
 22:41:39.241,17.267
 22:41:39.345,16.847
 22:41:39.457,17.140
 22:41:39.576,17.213
 22:41:39.651,17.127
 22:41:39.751,17.253
 22:41:39.859,17.113
 22:41:39.955,17.233
 22:41:40.058,17.327
 22:41:40.146,17.073
 22:41:40.265,17.307
 22:41:40.366,16.813
 22:41:40.470,17.460
 22:41:40.571,17.147
 22:41:40.674,17.127
 22:41:40.792,16.960
 22:41:40.882,16.747
 22:41:40.943,17.133
 22:41:41.049,16.860
 22:41:41.175,17.067
 22:41:41.294,17.147
 22:41:41.322,16.947
 22:41:41.493,16.787
 22:41:41.520,17.093
 22:41:41.699,17.100
 22:41:41.728,17.313
 22:41:41.830,17.133
 22:41:41.926,16.893
 22:41:42.033,17.113
 22:41:42.133,17.287
 22:41:42.233,17.187
 22:41:42.323,17.080
 22:41:42.421,16.947
 22:41:42.522,16.973
 22:41:42.620,17.313
 22:41:42.727,17.200
 22:41:42.855,17.287
 22:41:42.927,16.867
 22:41:43.033,17.000
 22:41:43.131,17.007
 22:41:43.238,16.907
 22:41:43.336,17.073
 22:41:43.454,16.847
 22:41:43.543,17.047
 22:41:43.642,17.333
 22:41:43.744,17.227
 22:41:43.867,16.973
 22:41:43.954,16.920
 22:41:44.052,17.267
 22:41:44.155,17.120
 22:41:44.261,17.107
 22:41:44.361,17.380
 22:41:44.461,16.927
 22:41:44.568,17.087
 22:41:44.670,16.920
 22:41:44.770,17.207
 22:41:44.875,17.060
 22:41:44.978,17.000
