Time,Temperature
 23:14:23.278,26.670
 23:14:23.385,26.670
 23:14:23.487,26.670
 23:14:23.584,26.680
 23:14:23.686,26.700
 23:14:23.797,26.700
 23:14:23.892,26.670
 23:14:23.994,26.700
 23:14:24.097,26.710
 23:14:24.209,26.700
 23:14:24.311,26.700
 23:14:24.409,26.670
 23:14:24.506,26.680
 23:14:24.610,26.710
 23:14:24.712,26.700
 23:14:24.813,26.680
 23:14:24.917,26.700
 23:14:25.020,26.680
 23:14:25.120,26.680
 23:14:25.222,26.670
 23:14:25.265,26.710
 23:14:25.427,26.730
 23:14:25.482,26.680
 23:14:25.735,26.680
 23:14:25.739,26.680
 23:14:25.763,26.700
 23:14:25.861,26.670
 23:14:25.964,26.700
 23:14:26.068,26.710
 23:14:26.167,26.700
 23:14:26.272,26.710
 23:14:26.368,26.680
 23:14:26.479,26.730
 23:14:26.579,26.680
 23:14:26.681,26.670
 23:14:26.782,26.700
 23:14:26.876,26.700
 23:14:26.973,26.680
 23:14:27.075,26.750
 23:14:27.174,26.670
 23:14:27.271,26.730
 23:14:27.375,26.710
 23:14:27.476,26.680
 23:14:27.582,26.700
 23:14:27.681,26.700
 23:14:27.781,26.680
 23:14:27.888,26.730
 23:14:27.990,26.670
 23:14:28.090,26.730
 23:14:28.207,26.680
 23:14:28.295,26.670
 23:14:28.399,26.710
 23:14:28.502,26.700
 23:14:28.622,26.670
 23:14:28.705,26.700
 23:14:28.816,26.670
 23:14:28.908,26.710
 23:14:29.011,26.700
 23:14:29.114,26.680
 23:14:29.216,26.710
 23:14:29.320,26.700
 23:14:29.350,26.700
 23:14:29.455,26.730
 23:14:29.551,26.710
 23:14:29.650,26.730
 23:14:29.757,26.650
 23:14:29.855,26.700
 23:14:29.985,26.700
 23:14:30.068,26.730
 23:14:30.196,26.700
 23:14:30.269,26.710
 23:14:30.366,26.700
 23:14:30.455,26.700
 23:14:30.553,26.700
 23:14:30.651,26.710
 23:14:30.754,26.680
 23:14:30.855,26.700
 23:14:30.957,26.710
 23:14:31.060,26.680
 23:14:31.163,26.730
 23:14:31.265,26.710
 23:14:31.368,26.710
 23:14:31.477,26.710
 23:14:31.582,26.680
 23:14:31.677,26.710
 23:14:31.779,26.730
 23:14:31.884,26.700
 23:14:31.992,26.700
 23:14:32.119,26.700
 23:14:32.192,26.730
 23:14:32.293,26.730
 23:14:32.398,26.710
 23:14:32.502,26.710
 23:14:32.617,26.700
 23:14:32.706,26.680
 23:14:32.804,26.680
 23:14:32.904,26.680
 23:14:33.027,26.700
 23:14:33.107,26.700
 23:14:33.212,26.700
 23:14:33.238,26.670
 23:14:33.351,26.680
 23:14:33.446,26.680
 23:14:33.548,26.700
 23:14:33.723,26.700
 23:14:33.739,26.700
 23:14:33.859,26.700
 23:14:33.955,26.750
 23:14:34.057,26.710
 23:14:34.155,26.730
 23:14:34.254,26.700
 23:14:34.338,26.710
 23:14:34.454,26.700
 23:14:34.542,26.680
 23:14:34.644,26.730
 23:14:34.747,26.700
 23:14:34.866,26.670
 23:14:34.964,26.680
 23:14:35.061,26.680
 23:14:35.157,26.710
 23:14:35.259,26.700
 23:14:35.356,26.730
 23:14:35.454,26.700
 23:14:35.568,26.680
 23:14:35.668,26.700
 23:14:35.771,26.710
 23:14:35.874,26.700
 23:14:35.978,26.730
 23:14:36.078,26.700
 23:14:36.180,26.710
 23:14:36.292,26.730
 23:14:36.384,26.670
 23:14:36.486,26.710
 23:14:36.590,26.680
 23:14:36.703,26.730
 23:14:36.735,26.730
 23:14:36.905,26.670
 23:14:36.940,26.680
 23:14:37.026,26.730
 23:14:37.126,26.730
 23:14:37.228,26.700
 23:14:37.331,26.680
 23:14:37.433,26.670
 23:14:37.536,26.700
 23:14:37.717,26.710
 23:14:37.725,26.730
 23:14:37.831,26.730
 23:14:37.927,26.730
 23:14:38.048,26.670
 23:14:38.130,26.750
 23:14:38.238,26.700
 23:14:38.332,26.700
 23:14:38.433,26.670
 23:14:38.541,26.730
 23:14:38.637,26.700
 23:14:38.741,26.700
 23:14:38.865,26.710
 23:14:38.954,26.700
 23:14:39.050,26.680
 23:14:39.149,26.730
 23:14:39.252,26.700
 23:14:39.379,26.710
 23:14:39.457,26.730
 23:14:39.559,26.710
 23:14:39.670,26.700
 23:14:39.770,26.710
 23:14:39.866,26.670
 23:14:39.968,26.730
 23:14:40.044,26.700
 23:14:40.198,26.680
 23:14:40.275,26.700
 23:14:40.379,26.750
 23:14:40.485,26.710
 23:14:40.587,26.680
 23:14:40.704,26.730
 23:14:40.716,26.680
 23:14:40.892,26.670
 23:14:40.919,26.750
 23:14:41.017,26.710
 23:14:41.136,26.700
 23:14:41.232,26.700
 23:14:41.332,26.700
 23:14:41.437,26.710
 23:14:41.515,26.700
 23:14:41.634,26.710
 23:14:41.735,26.710
 23:14:41.836,26.710
 23:14:41.914,26.730
 23:14:42.018,26.700
 23:14:42.120,26.710
 23:14:42.221,26.730
 23:14:42.328,26.700
 23:14:42.427,26.710
 23:14:42.542,26.700
 23:14:42.631,26.710
 23:14:42.734,26.730
 23:14:42.835,26.680
 23:14:42.952,26.700
 23:14:43.049,26.730
 23:14:43.149,26.680
 23:14:43.245,26.700
 23:14:43.372,26.730
 23:14:43.452,26.700
 23:14:43.553,26.730
 23:14:43.656,26.750
 23:14:43.757,26.710
 23:14:43.860,26.710
 23:14:44.067,26.700
 23:14:44.071,26.710
 23:14:44.177,26.700
 23:14:44.271,26.700
 23:14:44.341,26.730
 23:14:44.417,26.670
 23:14:44.578,26.700
 23:14:44.677,26.730
 23:14:44.706,26.730
 23:14:44.813,26.730
 23:14:44.912,26.710
 23:14:45.019,26.710
 23:14:45.111,26.730
 23:14:45.292,26.730
 23:14:45.322,26.700
 23:14:45.420,26.730
 23:14:45.522,26.730
 23:14:45.625,26.710
 23:14:45.705,26.730
 23:14:45.807,26.750
 23:14:45.918,26.710
 23:14:46.035,26.710
 23:14:46.112,26.730
 23:14:46.216,26.700
 23:14:46.323,26.710
 23:14:46.420,26.710
 23:14:46.546,26.750
 23:14:46.626,26.700
 23:14:46.727,26.730
 23:14:46.839,26.700
 23:14:46.950,26.680
 23:14:47.034,26.700
 23:14:47.139,26.700
 23:14:47.240,26.710
 23:14:47.386,26.700
 23:14:47.445,26.710
 23:14:47.546,26.700
 23:14:47.658,26.730
 23:14:47.760,26.730
 23:14:47.855,26.700
 23:14:47.955,26.680
 23:14:48.058,26.700
 23:14:48.162,26.700
 23:14:48.264,26.710
 23:14:48.372,26.730
 23:14:48.469,26.700
 23:14:48.497,26.710
 23:14:48.595,26.700
 23:14:48.724,26.730
 23:14:48.811,26.710
 23:14:48.909,26.750
 23:14:49.006,26.700
 23:14:49.198,26.710
 23:14:49.202,26.680
 23:14:49.390,26.710
 23:14:49.392,26.680
 23:14:49.493,26.700
 23:14:49.618,26.710
 23:14:49.691,26.730
 23:14:49.800,26.730
 23:14:49.902,26.710
 23:14:50.003,26.730
 23:14:50.105,26.730
 23:14:50.209,26.730
 23:14:50.312,26.730
 23:14:50.422,26.710
 23:14:50.522,26.680
 23:14:50.626,26.750
 23:14:50.721,26.710
 23:14:50.823,26.700
 23:14:50.928,26.710
 23:14:51.035,26.730
 23:14:51.132,26.730
 23:14:51.232,26.710
 23:14:51.363,26.700
 23:14:51.439,26.730
 23:14:51.540,26.730
 23:14:51.644,26.680
 23:14:51.746,26.710
 23:14:51.848,26.730
 23:14:51.953,26.750
 23:14:52.053,26.700
 23:14:52.095,26.700
 23:14:52.183,26.750
 23:14:52.282,26.730
 23:14:52.384,26.680
 23:14:52.486,26.700
 23:14:52.590,26.730
 23:14:52.793,26.710
 23:14:52.797,26.760
 23:14:52.897,26.700
 23:14:52.998,26.760
 23:14:53.118,26.730
 23:14:53.198,26.710
 23:14:53.284,26.710
 23:14:53.383,26.730
 23:14:53.489,26.700
 23:14:53.609,26.700
 23:14:53.691,26.750
 23:14:53.794,26.700
 23:14:53.895,26.670
 23:14:54.001,26.710
 23:14:54.100,26.730
 23:14:54.202,26.760
 23:14:54.298,26.730
 23:14:54.412,26.700
 23:14:54.509,26.750
 23:14:54.611,26.760
 23:14:54.715,26.760
 23:14:54.811,26.750
 23:14:54.914,26.750
 23:14:55.034,26.730
 23:14:55.124,26.730
 23:14:55.225,26.710
 23:14:55.329,26.730
 23:14:55.447,26.750
 23:14:55.475,26.710
 23:14:55.636,26.680
 23:14:55.738,26.750
 23:14:55.848,26.700
 23:14:55.878,26.700
 23:14:55.973,26.730
 23:14:56.071,26.680
 23:14:56.183,26.700
 23:14:56.281,26.700
 23:14:56.455,26.730
 23:14:56.549,26.700
 23:14:56.577,26.700
 23:14:56.673,26.730
 23:14:56.792,26.730
 23:14:56.872,26.710
 23:14:56.992,26.730
 23:14:57.070,26.700
 23:14:57.177,26.710
 23:14:57.283,26.730
 23:14:57.377,26.700
 23:14:57.480,26.730
 23:14:57.582,26.760
 23:14:57.676,26.710
 23:14:57.796,26.760
 23:14:57.895,26.760
 23:14:57.991,26.710
 23:14:58.093,26.700
 23:14:58.167,26.710
 23:14:58.298,26.710
 23:14:58.412,26.730
 23:14:58.464,26.760
 23:14:58.607,26.750
 23:14:58.709,26.760
 23:14:58.819,26.730
 23:14:58.893,26.730
 23:14:59.014,26.730
 23:14:59.120,26.750
 23:14:59.222,26.700
 23:14:59.324,26.710
 23:14:59.445,26.710
 23:14:59.463,26.730
 23:14:59.631,26.710
 23:14:59.732,26.700
 23:14:59.856,26.700
 23:14:59.938,26.710
 23:14:59.964,26.700
 23:15:00.064,26.750
