Time Lapsed,Absolute_Magnetic_Field
603.996,42.016
604.077,42.041
604.173,41.972
604.277,41.852
604.380,41.945
604.472,41.925
604.574,41.978
604.675,41.916
604.775,42.144
604.893,41.884
604.991,41.898
605.099,41.989
605.199,41.928
605.305,41.956
605.408,41.973
605.510,41.945
605.609,42.037
605.709,41.786
605.832,41.941
605.925,41.953
606.021,41.999
606.119,42.077
606.219,41.896
606.331,41.828
606.432,41.873
606.533,41.986
606.569,41.916
656.734,41.853
656.766,41.84
656.945,41.966
656.976,42.173
657.064,41.958
657.170,42.061
657.271,41.892
657.371,41.801
657.472,41.931
657.577,41.995
657.670,42.131
657.780,41.929
657.863,41.952
657.991,41.946
658.084,41.919
658.175,42.07
658.273,41.857
658.381,41.947
658.481,42.069
658.579,41.939
658.680,41.933
658.812,42.083
658.893,41.732
658.989,41.904
659.089,41.969
659.192,41.82
659.293,41.951
659.396,41.713
659.532,41.767
659.606,41.853
659.702,42.02
659.804,42.014
659.918,41.792
660.016,41.89
660.118,41.978
660.214,41.978
660.317,41.926
660.420,41.985
660.521,41.851
660.609,41.81
660.653,41.77
660.832,41.855
660.861,42.12
661.035,42.011
661.062,41.945
661.162,42.063
661.266,41.852
661.373,41.956
661.472,41.824
661.574,41.967
661.648,41.985
661.780,41.896
661.854,41.937
661.957,41.792
662.081,41.804
662.172,42.098
662.268,41.928
662.373,41.816
662.493,41.823
662.574,42.02
662.670,41.993
662.775,42.111
662.883,41.949
662.979,41.675
663.082,41.962
663.185,41.984
663.293,41.927
663.356,41.987
663.459,41.819
663.567,41.783
663.695,41.962
663.800,42.01
663.918,41.867
664.006,41.897
664.109,41.822
664.212,41.949
664.329,41.958
664.418,41.916
664.445,41.845
664.543,41.859
664.653,41.94
664.753,42.037
664.854,41.974
664.957,41.946
665.059,41.864
665.157,41.856
665.265,41.964
665.344,42.088
665.442,42.041
665.548,41.826
665.646,41.985
665.755,41.884
665.849,41.881
665.952,41.977
666.055,42.022
666.168,41.859
666.287,41.917
666.361,42.006
666.462,41.889
666.570,42.032
666.665,41.963
716.768,41.954
716.856,42.023
716.976,41.817
717.077,41.868
717.180,41.7
717.282,42.05
717.385,41.915
717.503,41.939
717.592,41.843
717.653,41.765
717.760,41.957
717.886,41.793
718.005,41.83
718.033,41.938
718.204,41.762
718.231,41.693
718.410,41.925
718.439,41.946
718.540,42.028
718.636,41.995
718.744,41.792
718.844,41.955
718.944,41.956
719.033,41.934
719.131,41.875
719.233,41.837
719.331,41.806
719.437,41.968
719.565,41.963
719.638,41.977
719.744,41.741
719.842,41.837
719.949,41.95
720.047,41.836
720.165,41.874
720.253,41.703
720.353,41.86
720.454,41.972
720.577,41.93
720.665,41.899
720.763,41.699
720.866,41.981
720.972,41.91
721.072,41.866
721.172,42.013
721.278,41.898
721.381,41.8
721.481,41.848
721.586,41.887
721.689,41.936
721.795,41.856
721.822,41.963
721.922,42.084
722.028,41.844
722.128,41.859
722.226,42.065
722.327,41.876
722.437,42.046
722.530,42.041
722.638,42.019
722.739,41.994
722.839,41.919
722.937,41.912
723.020,42.018
723.123,42.066
723.224,41.979
723.324,41.857
723.423,42.003
723.516,42.109
723.636,42.079
723.736,41.911
723.841,41.844
723.937,41.933
724.045,41.825
724.143,41.864
724.251,41.844
724.351,41.787
724.454,41.933
724.574,41.987
724.653,41.873
724.785,41.966
724.858,42.064
724.942,41.821
725.062,41.86
725.165,41.973
725.268,41.961
725.312,41.929
725.474,41.746
725.577,42.08
725.680,41.854
725.717,41.657
725.815,41.942
725.913,42.151
726.010,41.995
726.114,41.904
726.212,41.935
726.320,41.915
726.413,41.937
726.523,41.907
726.628,41.779
776.726,41.913
776.824,41.984
776.935,42.028
777.008,41.893
777.114,41.906
777.228,41.901
777.315,41.996
777.418,41.801
777.523,41.93
777.628,41.799
777.731,41.893
777.834,42.053
777.932,41.955
778.030,41.86
778.136,42.028
778.251,41.968
778.344,41.818
778.445,41.913
778.552,41.828
778.662,41.943
778.761,41.88
778.859,41.999
778.986,42.016
779.060,42.022
779.165,41.766
779.270,41.893
779.371,41.837
779.479,41.887
779.510,41.839
779.606,41.952
779.775,41.828
779.805,41.915
779.902,41.96
780.003,42.05
780.113,41.807
780.214,41.896
780.312,41.958
780.413,42.057
780.525,41.984
780.599,41.88
780.697,41.956
780.798,41.725
780.915,41.843
781.013,42.111
781.111,41.865
781.214,41.947
781.310,41.924
781.413,41.782
781.515,41.991
781.626,41.979
781.746,41.869
781.804,41.906
781.932,41.678
782.015,41.872
782.099,42.021
782.221,41.988
782.337,42.077
782.410,41.785
782.530,41.878
782.660,41.901
782.729,41.795
782.849,41.991
782.947,42.014
783.072,42.019
783.153,41.97
783.255,41.966
783.358,41.903
783.396,41.909
783.491,41.867
783.591,42.033
783.687,41.924
783.793,41.884
783.898,41.861
783.994,41.927
784.099,41.862
784.202,41.812
784.302,42.037
784.385,42.027
784.498,41.932
784.591,41.893
784.690,41.872
784.793,42.055
784.910,41.835
785.006,41.92
785.104,41.719
785.204,41.85
785.288,41.954
785.408,41.877
785.506,41.798
785.601,41.86
785.685,41.925
785.815,41.969
785.912,41.954
786.028,41.941
786.128,41.61
786.233,41.809
786.337,41.857
786.415,41.87
786.540,41.858
786.636,41.817
1076.721,41.715
1076.841,41.878
1076.940,41.951
1077.035,41.942
1077.140,41.845
1077.246,41.867
1077.280,42.046
1077.378,41.904
1077.476,42.023
1077.579,41.912
1077.682,42.06
1077.863,41.84
1077.891,41.99
1077.989,41.939
1078.094,41.877
1078.177,42.155
1078.295,41.925
1078.376,41.842
1078.479,41.972
1078.584,41.957
1078.687,41.836
1078.783,41.752
1078.881,42.039
1078.998,41.847
1079.094,41.875
1079.194,41.87
1079.275,41.812
1079.400,41.876
1079.501,41.9
1079.643,41.923
1079.709,41.954
1079.807,41.682
1079.869,41.907
1079.978,41.867
1080.084,42.084
1080.195,41.906
1080.298,41.825
1080.423,41.91
1080.511,41.747
1080.621,41.829
1080.668,41.851
1080.770,41.773
1080.866,41.868
1081.035,41.979
1081.158,41.87
1081.253,41.997
1081.280,42.005
1081.378,41.994
1081.481,41.848
1081.582,41.892
1081.685,42.01
1081.782,42.065
1081.881,41.801
1081.981,41.858
1082.067,41.94
1082.260,42.027
1082.266,41.907
1082.369,41.836
1082.479,41.963
1082.608,41.944
1082.677,42.016
1082.804,42.084
1082.866,41.78
1082.994,41.989
1083.077,41.903
1083.190,41.904
1083.319,41.842
1083.369,41.737
1083.496,41.816
1083.596,41.961
1083.685,41.872
1083.795,41.918
1083.898,41.782
1084.006,41.867
1084.104,41.899
1084.204,41.898
1084.309,41.871
1084.447,41.705
1084.523,41.984
1084.619,41.869
1084.733,41.736
1084.760,41.921
1084.859,41.82
1084.957,41.851
1085.057,41.886
1085.155,41.835
1085.265,41.714
1085.364,41.862
1085.464,41.866
1085.567,42.07
1085.667,41.901
1085.771,41.808
1085.858,42.026
1085.962,42.081
1086.062,41.884
1086.160,41.855
1086.268,41.87
1086.368,41.923
1086.467,41.867
1086.570,41.843
1086.670,41.77
1136.771,41.928
1136.873,41.932
1136.993,41.901
1137.103,41.837
1137.180,41.916
1137.263,41.916
1137.405,41.882
1137.489,41.913
1137.550,41.789
1137.695,41.876
1137.798,41.903
1137.900,41.883
1137.967,42.016
1138.069,41.781
1138.212,41.946
1138.310,42.046
1138.378,41.861
1138.484,42.025
1138.543,41.752
1138.646,41.78
1138.744,41.924
1138.854,41.873
1138.940,41.823
1139.045,41.839
1139.143,41.951
1139.241,41.96
1139.349,41.913
1139.444,41.827
1139.567,41.979
1139.653,41.751
1139.750,42.01
1139.854,41.921
1139.979,41.853
1140.055,41.987
1140.184,41.607
1140.261,41.926
1140.344,41.885
1140.466,42.035
1140.569,42.058
1140.670,41.75
1140.766,41.956
1140.868,42.008
1140.969,41.866
1141.079,41.985
1141.179,41.832
1141.277,41.848
1141.378,41.807
1141.481,41.978
1141.547,41.924
1141.695,41.853
1141.792,41.878
1141.854,41.798
1141.957,41.869
1142.062,41.842
1142.138,41.824
1142.239,41.831
1142.341,41.911
1142.440,41.87
1142.530,42.018
1142.631,41.906
1142.751,41.745
1142.849,42.046
1142.945,41.918
1143.042,41.908
1143.143,41.883
1143.241,41.907
1143.334,41.798
1143.439,41.968
1143.532,41.983
1143.631,41.99
1143.736,41.877
1143.844,41.805
1143.942,41.878
1144.043,41.956
1144.148,41.886
1144.251,41.964
1144.351,41.761
1144.459,41.946
1144.555,41.86
1144.658,41.871
1144.760,41.879
1144.861,41.665
1144.972,42.001
1145.079,42.025
1145.168,41.902
1145.273,41.884
1145.381,41.951
1145.491,41.699
1145.587,41.861
1145.685,41.889
1145.783,41.992
1145.893,41.953
1145.922,41.842
1146.097,41.872
1146.126,41.736
1146.229,42.001
1146.329,41.955
1146.430,42.025
1146.609,41.856
1146.640,41.95
1196.738,41.912
1196.841,41.926
1196.940,41.895
1197.018,41.816
1197.123,41.962
1197.219,42.019
1197.329,41.943
1197.429,41.827
